Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Izsha /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stukov /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Verseuchte Kerrigan /// Kerrigan Infested
Conversation/zEvoMission_Hydralisk/Line00065=Pfähler kann eingegraben angreifen. Greift einzelnes Ziel an. Zerfetzt Panzerung. /// Impaler attacks while burrowed. Damages single target. Tears through armor.
Conversation/zEvoMission_Hydralisk/Line00067=Schicke jetzt weitere Pfähler. /// Delivering additional impalers now.
Conversation/zEvoMission_Hydralisk/Line00068=Bewegt euch auf die Anhöhe und greift ihre Barrikade von oben an. /// [Serious]Move[/Serious] to the high ground, and [Serious]assault their barricade from above.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00069=Bewegt euch auf die Anhöhe und greift ihre Barrikade von oben an. /// [Serious]Move[/Serious] to the high ground, and [Serious]assault their barricade from above.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00070=Barrikade der Liga zerstört. /// Dominion barricade destroyed.
Conversation/zEvoMission_Hydralisk/Line00071=Barrikaden zerstört. Nur Basis der Prometheus-Kompanie übrig. /// Barricades destroyed. Only Prometheus Company base remains.
Conversation/zEvoMission_Hydralisk/Line00082=Da ist gerade was aus dem Boden gekommen! /// Something just busted outta the ground!
Conversation/zEvoMission_Hydralisk/Line00083=Reißt euch zusammen! /// Keep it together!
Conversation/zEvoMission_Hydralisk/Line00084=Dieser Rakenturm kann unsere Pfähler entdecken, selbst wenn sie eingegraben sind. Schaltet ihn zuerst aus. /// That [Serious]missile turret[/Serious] can detect our impalers while burrowed. [Serious]Take it out first.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00088=Dafür ist mein Sold nicht hoch genug! /// They don't pay me enough for this!
Conversation/zEvoMission_Hydralisk/Line00089=Terranische Truppen eliminiert. /// Terran forces eliminated.
Conversation/zEvoMission_Hydralisk/Line00090=Alternative Hydralisken-Metamorphose möglich. Verbleibende Schleicherbauten entdeckt. /// Alternative hydralisk morph possible. Surviving lurker dens discovered.
Conversation/zEvoMission_Hydralisk/Line00091=Die verwilderten Zerg haben uns gespürt. Vergrabt euch, schnell! /// [Surprise 60]The feral zerg have sensed us![/Surprise] [Serious]Burrow, quickly![/Serious]
Conversation/zEvoMission_Hydralisk/Line00092=Eine weitere Welle! Haltet sie vom Schleicherbau fern! /// [Surprise 70]Another wave incoming![/Surprise][Angry 80] Keep them off the lurker den![/Angry]
Conversation/zEvoMission_Hydralisk/Line00093=Dieser Rakenturm kann unsere Pfähler entdecken, selbst wenn sie eingegraben sind. Schaltet ihn zuerst aus. /// That [Serious]missile turret[/Serious] can detect our impalers while burrowed. [Serious]Take it out first.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00094=Der Schleicherbau ist nicht weit entfernt. Macht euch auf den Weg. /// The lurker den isn't far. [Serious]Move out.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00095=Die verwilderten Zerg haben uns gespürt. Vergrabt euch, schnell! /// [Surprise 60]The feral zerg have sensed us![/Surprise] [Serious]Burrow, quickly![/Serious]
Conversation/zEvoMission_Hydralisk/Line00096=Mehr verwilderte Zerg! Grabt euch sofort ein und greift sie an! /// [Serious]More feral zerg. Burrow quickly,[/Serious][Angry 80] and attack![/Angry]
Conversation/zEvoMission_Hydralisk/Line00097=Halt, ich spüre, dass die verwilderten Zerg in Bewegung sind ... Sie greifen von Süden aus an! Verteidigt den Schleicherbau! /// [Serious]I sense the feral zerg moving... [/Serious][Surprise 80]They're attacking from the south![/Surprise][Serious] Defend the lurker den![/Serious]
Conversation/zEvoMission_Hydralisk/Line00098=Eine weitere Welle! Haltet sie vom Schleicherbau fern! /// [Surprise 70]Another wave incoming![/Surprise][Angry 80] Keep them off the lurker den![/Angry]
Conversation/zEvoMission_Hydralisk/Line00099=Ich erinnere mich an Daggoth. Ein würdiger Gegner. /// [Serious]I remember[/Serious] Daggoth. [Serious]A worthy opponent.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00100=Ich erinnere mich an Daggoth. Ein würdiger Gegner. /// [Serious]I remember[/Serious] Daggoth. [Serious]A worthy opponent.[/Serious]
Conversation/zEvoMission_Hydralisk/Line00101=Oh verflucht! Rückzug! /// Aw, hell no! Retreat!
Conversation/zEvoMission_Hydralisk/Line00102=Wir werden von etwas Unbekanntem angegriffen! Zurückfallen! /// Taking fire from unidentifiable source. Fall back!
Conversation/zEvoMission_Hydralisk/Line00103=Mehr Hydralisken. /// More hydralisks.
Conversation/zEvoMission_Hydralisk/Line00104=Es kommen noch weitere Hydralisken. /// Additional hydralisks, inbound now.
Conversation/zEvoMission_Hydralisk/Line00105=Verwilderte Schleicher entdeckt. Werden jetzt übernommen. /// Discovered feral lurkers. Dominating now.
Conversation/zEvoMission_Hydralisk/Line00106=Weitere Schleicher. /// More lurkers.
Conversation/zEvoMission_Mutalisk/Comment00001=Zusätzliche Wellen /// Additional waves
Conversation/zEvoMission_Mutalisk/Comment00002=Forschungseinrichtung besiegt. /// Science Facillity defeated
Conversation/zEvoMission_Mutalisk/Comment00003=Ende /// Ending
Conversation/zEvoMission_Mutalisk/Comment00004=Raumjäger besiegt. /// Wraiths defeated.
Conversation/zEvoMission_Mutalisk/Comment00005=Missionsbeginn /// Mission Start
Conversation/zEvoMission_Mutalisk/Comment00006=Scheusale über den Fluss gezogen. /// Aberrations pulled across river.
Conversation/zEvoMission_Mutalisk/Comment00007=Brutlord-Metamorphose abgeschlossen. /// Broodlord morphed.
Conversation/zEvoMission_Mutalisk/Comment00008=Raumjäger spawnen /// Wraiths spawn
Conversation/zEvoMission_Mutalisk/Comment00009=Zweiter Belagerungspanzer gepullt. /// Second Siege tank pulled.
Conversation/zEvoMission_Mutalisk/Comment00010=Schleier. /// Disabling cloud.
Conversation/zEvoMission_Mutalisk/Comment00011=Missionsbeginn /// Mission start
Conversation/zEvoMission_Mutalisk/Comment00012=Letzte Gruppe verbleibt. /// Final group remains.
Conversation/zEvoMission_Mutalisk/Comment00013=Erinnerung, Abschleppen zu nutzen. /// Reminder to use abduct.
Conversation/zEvoMission_Mutalisk/Comment00014=Alle Mutalisken des Spielers wruden getötet. /// Player got all his/her Mutalisks killed.
Conversation/zEvoMission_Mutalisk/Comment00015=Spieler verliert Brutlord an fliegende Einheit. Abathur einnert daran, die Brutlords zu beschützen. /// Player loses a Brood Lord to a flying unit. Abathur reminds him/her to protect the broodlords.
Conversation/zEvoMission_Mutalisk/Comment00016=Angriff auf Liga-Basis geht weiter: /// Commence attack on Dominion Base:
Conversation/zEvoMission_Mutalisk/Comment00017=Vipernverstärkung /// Viper reinforcement
Conversation/zEvoMission_Mutalisk/Comment00018=Zusätzliche Ressourcen /// Additional resources
Conversation/zEvoMission_Mutalisk/Group00001=EvoMission_Mutalisk /// EvoMission_Mutalisk
Conversation/zEvoMission_Mutalisk/Group00002=Viper /// Viper
Conversation/zEvoMission_Mutalisk/Group00003=Brutlord /// Broodlord
Conversation/zEvoMission_Mutalisk/Group00004=VERALTET ABER AUFGENOMMEN /// OBSOLETE BUT RECORDED
Conversation/zEvoMission_Mutalisk/Group00005=Wellen schützen Einreichtung. /// Waves protecting facility.
Conversation/zEvoMission_Mutalisk/Group00006=Mittlere Filmsequenz /// Mid cinematic
Conversation/zEvoMission_Mutalisk/Line00001=Brutlord: Wirft Brütling ab, greift weit entfernte Bodenziele an. /// Brood lord: launches broodling, assault ground targets from distance.
Conversation/zEvoMission_Mutalisk/Line00006=Setzen wir diesem Patt ein Ende. /// Now let's end this stalemate.
Conversation/zEvoMission_Mutalisk/Line00007=Raumjäger! Wir müssen unsere Brutlords schützen! Ich brauche Mutalisken, sofort! /// [Surprise 70]Wraiths! [/Surprise]We have to defend our brood lords! [Serious]I need mutalisks, now! [/Serious]
Conversation/zEvoMission_Mutalisk/Line00008=Bedrohung eliminiert. Kann übrige Mutalisken für letzten Angriff zu Brutlords morphen. /// Threat eliminated. Can morph remaining mutalisks into brood lords for final assault.
Conversation/zEvoMission_Mutalisk/Line00009=Weitere Truppen der Liga entdeckt. Unterwegs, um Anlage zu schützen. /// Detecting Dominion reinforcements. En route to protect facility.
Conversation/zEvoMission_Mutalisk/Line00010=Mutalisken können abfangen. /// Mutalisks able to intercept.
Conversation/zEvoMission_Mutalisk/Line00011=Raumjäger treffen ein. Brutlords beschützen. /// Wraiths incoming. Protect brood lords.
Conversation/zEvoMission_Mutalisk/Line00012=Verstärkung trifft ein. /// Reinforcements arriving.
Conversation/zEvoMission_Mutalisk/Line00013=Weitere Raumjäger entdeckt. /// Detecting more Wraiths.
Conversation/zEvoMission_Mutalisk/Line00014=Einsatztruppe der Liga nähert sich. /// Dominion strike team inbound.
Conversation/zEvoMission_Mutalisk/Line00015=Raumjäger-Schwadron im Anflug. Versuchen, Brutlords abzufangen. /// Wraith squadron incoming. Attempting to intercept brood lords.
Conversation/zEvoMission_Mutalisk/Line00016=Truppen der Liga unterwegs, um Anlage zu schützen. /// Dominion troops heading to protect facility.
Conversation/zEvoMission_Mutalisk/Line00017=Planetare Festung zerstört, Plattform gesichert. /// Planetary fortress destroyed. Platform secured.
Conversation/zEvoMission_Mutalisk/Line00018=Joriumfracht gesichert. /// Jorium cargo secured.
Conversation/zEvoMission_Mutalisk/Line00019=Muss Mutalisken-Metamorphose vorbereiten. Kehre in Evolutionsgrube zurück. /// Must prepare mutalisk morph. Returning to evolution pit.
Conversation/zEvoMission_Mutalisk/Line00020=Viper: strategische Einheit. Entführt Ziele, zerrt Freund oder Feind an eigenen Standort. /// Viper: strategic asset. Abducts targets, pulls to its location. Usable on ally or foe.
Conversation/zEvoMission_Mutalisk/Line00025=Bewegt euch über den Fluss und zieht unsere Scheusale auf die andere Seite. /// [Serious]Move across[/Serious] the river and pull our aberrations to the other side.
Conversation/zEvoMission_Mutalisk/Line00029=Belagerungspanzer entdeckt. Vipern einsetzen. In Reichweite der Scheusale ziehen. /// Siege tanks detected. Use vipers. Pull into range of aberrations.
Conversation/zEvoMission_Mutalisk/Line00030=Viper: stößt lähmende Wolke aus. Feinde darin können nicht angreifen. /// Viper: emits disabling cloud. Foes within, cannot attack.
Conversation/zEvoMission_Mutalisk/Line00031=Reißt diesen Bunker in Stücke! /// Rip that bunker apart!
Conversation/zEvoMission_Mutalisk/Line00033=Mutalisken können zu Brutlords morphen. Erwarten Befehl. /// Mutalisks can morph into brood lord. Await your command.
Conversation/zEvoMission_Mutalisk/Line00035=Schicke Mutalisken. Brutlords töten. Essenz einsammeln. /// Delivering mutalisks. Kill brood lords. Recover essence.
Conversation/zEvoMission_Mutalisk/Line00036=Assimiliere ihre Essenz. /// Assimilate their essence.
Conversation/zEvoMission_Mutalisk/Line00037=Sichtkontakt bestätigt, TacCom. Sierra One fängt ab. /// Visual confirmed, TacCom. Sierra one, intercepting.
Conversation/zEvoMission_Mutalisk/Line00040=Nur die letzten Verteidiger sind übrig. Bringen wir es zu Ende. /// Only their final defenses remain. [Angry 70]Move in for the kill.[/Angry]
Conversation/zEvoMission_Mutalisk/Line00050=Macht es weg! /// Get it off me!
Conversation/zEvoMission_Mutalisk/Line00051=Scheusal kann vertikale Flächen nicht erklimmen. Vipern müssen verschleppen, nach oben ziehen. /// Aberrations unable to scale vertical surface. Vipers must abduct, pull upwards.
Conversation/zEvoMission_Mutalisk/Line00052=Zusätzliche Mutalisken an Basis erschaffen. Begrenzte Ressource. Nicht verschwenden. /// Additional mutalisks spawned at base. Limited resource. Should not waste.
Conversation/zEvoMission_Mutalisk/Line00053=Sende Mutalisken. Beschützen Brutlords. Ergänzende Fähigkeiten. /// Supplying mutalisks, will protect brood lords. Complementary skills.
Conversation/zEvoMission_Mutalisk/Line00054=Wir werden überrannt! Schickt Verstärkung! /// We're being overrun! Drop in reinforcements!
Conversation/zEvoMission_Mutalisk/Line00055=Brutlords töten. Essenz erlangen. /// Kill brood lords. Recover essence.
Conversation/zEvoMission_Mutalisk/Line00056=Setzen wir diesem Patt ein Ende. /// Now let's end this stalemate.
Conversation/zEvoMission_Mutalisk/Line00057=Assimiliere ihre Essenz. /// Assimilate their essence.
Conversation/zEvoMission_Mutalisk/Line00058=Raumjäger! Wir müssen unsere Brutlords schützen! Ich brauche Mutalisken, sofort! /// [Surprise 70]Wraiths! [/Surprise]We have to defend our brood lords! [Serious]I need mutalisks, now! [/Serious]
Conversation/zEvoMission_Mutalisk/Line00059=Bewegt euch über den Fluss und zieht unsere Scheusale auf die andere Seite. /// [Serious]Move across[/Serious] the river and pull our aberrations to the other side.
Conversation/zEvoMission_Mutalisk/Line00060=Reißt diesen Bunker in Stücke! /// Rip that bunker apart!
Conversation/zEvoMission_Mutalisk/Line00061=Nur die letzten Verteidiger sind übrig. Bringen wir es zu Ende. /// Only their final defenses remain. [Angry 70]Move in for the kill.[/Angry]
Conversation/zEvoMission_Mutalisk/Line00062=Verstärkung durch den Schwarm bereit. /// Swarm reinforcements arriving.
Conversation/zEvoMission_Mutalisk/Line00063=Schicke jetzt Verstärkung. /// Delivering reinforcements now.
Conversation/zEvoMission_Mutalisk/Line00064=Streitkräfte des Schwarms in Basis erschaffen. /// Swarm forces spawned at base.
Conversation/zEvoMission_Mutalisk/Line00065=Weitere Streitkräfte in Basis erschaffen. /// Additional forces spawned at base.
Conversation/zEvoMission_Roach/Comment00001=Missionsbeginn /// Mission Start
Conversation/zEvoMission_Roach/Comment00002=Schaben eingesammelt. /// Roaches gathered.
Conversation/zEvoMission_Roach/Comment00003=Genug DNS gesammelt /// Enough DNA gathered.
Conversation/zEvoMission_Roach/Comment00004=Protektoren senken Schilde. /// Sentrys lay down shields.
Conversation/zEvoMission_Roach/Comment00005=Letzte Protoss vernichtet. /// Last protoss destroyed.
Conversation/zEvoMission_Roach/Comment00006=Erklärung für Schleicher. /// Prowler explaination
Conversation/zEvoMission_Roach/Comment00007=Auf ersten Scantipeden getroffen. /// First Scantipede encountered.
Conversation/zEvoMission_Roach/Comment00008=Koloss zerstört. /// Colossus destroyed.
Conversation/zEvoMission_Roach/Comment00009=Missionsstart /// Mission Start
Conversation/zEvoMission_Roach/Comment00010=Scantipeden erscheinen auf Minkarte. /// Scantipedes appear on minimap.
Conversation/zEvoMission_Roach/Comment00011=Bei Kontakt mit den Protoss /// Upon contact with protoss.
Conversation/zEvoMission_Roach/Comment00012=Scantipede tot. /// Scantipede dead.
Conversation/zEvoMission_Roach/Comment00013=Eingraben-Erinnerung /// Burrow reminder.
Conversation/zEvoMission_Roach/Comment00014=Erklärung zu den Einheiten /// Unit explaination
Conversation/zEvoMission_Roach/Comment00015=Schabling-Panzer-Erinnerung /// Roachling tank reminder
Conversation/zEvoMission_Roach/Comment00016=Ende /// Ending
Conversation/zEvoMission_Roach/Comment00017=Protossrufe /// Protoss barks
Conversation/zEvoMission_Roach/Comment00018=Missionsstart /// Mission Start
Conversation/zEvoMission_Roach/Comment00019=Erklärung zu den Einheiten /// Unit explaination
Conversation/zEvoMission_Roach/Comment00021=Transit /// Blink
Conversation/zEvoMission_Roach/Comment00022=Bereitstellung zusätzlicher Schaben /// Supplying additonal roaches
Conversation/zEvoMission_Roach/Comment00023=Ende /// Ending
Conversation/zEvoMission_Roach/Comment00024=Reaktion der Bersis /// Zealot reaction
Conversation/zEvoMission_Roach/Group00001=zEvoMission_Roach /// zEvoMission_Roach
Conversation/zEvoMission_Roach/Group00002=VERALTET /// OBSOLETE
Conversation/zEvoMission_Roach/Group00003=Frostschabe /// Glacial
Conversation/zEvoMission_Roach/Group00004=Schlupfschabe /// Corpser
Conversation/zEvoMission_Roach/Group00005=Split 1 /// Split 1
Conversation/zEvoMission_Roach/Group00006=Split 2 /// Split 2
Conversation/zEvoMission_Roach/Line00001=Gattung Schlupfschabe: Implantiert Schabling als Parasiten. Bricht aus Leiche von Feind hervor. /// Corpser strain: implants roachling parasite. Erupts from enemy's corpse.
Conversation/zEvoMission_Roach/Line00002=Verbleibende Schlupfschaben geborgen. /// Remaining corpsers recovered.
Conversation/zEvoMission_Roach/Line00003=Protoss alarmiert. Ziehen sich in Labor zurück. Eliminieren. /// Protoss on alert. Taking refuge within laboratory. Eliminate.
Conversation/zEvoMission_Roach/Line00007=Schleicher kampfbereit. /// Prowlers ready for combat.
Conversation/zEvoMission_Roach/Line00008=Essenz erlangt. Verwebe Sequenz in Schaben-Strang. /// Essence acquired. Spinning sequence into roach strain.
Conversation/zEvoMission_Roach/Line00013=Scantipeden entdeckt. Überfluss. Töten. Essenz einsammeln. /// Scantipedes discovered. Abundant. Kill. Collect essence.
Conversation/zEvoMission_Roach/Line00021=Säureschabe erfolgreich. Protoss vernichtet. /// Vile strain successful. Protoss eliminated.
Conversation/zEvoMission_Roach/Line00022=Muss Sequenzen vorbereiten. Kehre in Evolutionsgrube zurück. /// Must prepare sequences. Returning to evolution pit.
Conversation/zEvoMission_Roach/Line00023=Protektoren sichern Anlage. Schleicher eingraben. Schilde untertunneln. /// Sentries securing facility. Burrow prowlers. Tunnel under shields.
Conversation/zEvoMission_Roach/Line00024=Mehrere Kriegsmaschinen der Protoss entdeckt. Kolosse zerstören. /// Detecting multiple protoss war machines. Destroy colossi.
Conversation/zEvoMission_Roach/Line00026=Schleicher: Überzieht Feind mit Säure, ätzt durch Schilde und Rüstung. Verursacht regelmäßig Schaden. /// Prowler: Acid coats foe, eats through shields and armor. Damages over time.
Conversation/zEvoMission_Roach/Line00027=Kolosse zerstört. Nächste Gattung bereit für Test. Schlupfschabe. /// Colossi destroyed. Next strain ready for test. Corpser.
Conversation/zEvoMission_Roach/Line00028=Ich kann mich kaum ... bewegen. /// Difficult... to move.
Conversation/zEvoMission_Roach/Line00029=So ... kalt ... /// So... cold...
Conversation/zEvoMission_Roach/Line00030=Ich darf nicht aufgeben. /// Must not give up.
Conversation/zEvoMission_Roach/Line00031=Monstrositäten! /// Abominations!
Conversation/zEvoMission_Roach/Line00032=Das Versuchsobjekt ist frei! /// The experiment is loose!
Conversation/zEvoMission_Roach/Line00033=Zerg! /// Zerg!
Conversation/zEvoMission_Roach/Line00034=Beeilen. Kreatur im Kampf mit Protoss-Truppen. /// Travel quickly, creature in combat with protoss forces.
Conversation/zEvoMission_Roach/Line00035=Essenz erhalten. Schaben mit parasitärer Sequenz verändert. /// Essence acquired. Roaches modified with parasitic sequence.
Conversation/zEvoMission_Roach/Line00037=Schaben können sich eingraben, Wunden heilen. /// Roaches able to burrow, regenerate health.
Conversation/zEvoMission_Roach/Line00038=Greift an. Niemand darf überleben. /// [Serious]Push forward. [/Serious][Angry 70]Leave no survivors.[/Angry]
Conversation/zEvoMission_Roach/Line00039=Protoss zerstört, Scantipedenessenz gesichert. /// Protoss destroyed, scantipede essence secure.
Conversation/zEvoMission_Roach/Line00040=Bereite nächsten Test vor. Abgelegene Forschungsstätte im Nordosten entdeckt. /// Preparing next test. Remote experiment site discovered in northeast.
Conversation/zEvoMission_Roach/Line00041=Gattung Säureschabe: Säurehaltiger Speichel überzieht Feind. Verlangsamt Bewegung, verlangsamt Angriffe. /// Vile strain: acid saliva coats enemy. Slows movement, slows attacks.
Conversation/zEvoMission_Roach/Line00042=Der Feind hat unser Reservoir trockengelegt! Zerstört sie! /// The enemy has drained our reservoir! Destroy them!
Conversation/zEvoMission_Roach/Line00043=Kalt ... wie die Leere ... /// Cold... as the void....
Conversation/zEvoMission_Roach/Line00044=Die Zerg! Haltet sie auf! /// The zerg! Stop them!
Conversation/zEvoMission_Roach/Line00045=Wenn es unser Schicksal ist, zu sterben, dann lasst uns in einem ruhmreichen Kampf sterben! /// If it is our fate to die, let it be in glorious battle!
Conversation/zEvoMission_Roach/Line00046=Lasst die Schablinge den Feind zuerst angreifen! /// Let the roachlings attack the enemy first!
Conversation/zEvoMission_Roach/Line00047=Konzentriert den Angriff auf die Hetzer, bevor sie flüchten können! /// [Serious]Focus fire[/Serious] on the stalkers [Surprise 60]before [/Surprise]they [Serious]blink away![/Serious]
Conversation/zEvoMission_Roach/Line00049=Zusätzliche Schaben, treffen jetzt ein. /// Additional roaches, arriving now.
Conversation/zEvoMission_Roach/Line00050=Mehr Schaben. /// More roaches.
Conversation/zEvoMission_Roach/Line00051=Brüder, lasst die Zerg nicht entkommen! Tötet sie alle! /// Brothers, do not let the zerg escape! Slay them all!
Conversation/zEvoMission_Roach/Line00052=Greift an. Niemand darf überleben. /// [Serious]Push forward. [/Serious][Angry 70]Leave no survivors.[/Angry]
Conversation/zEvoMission_Roach/Line00053=Lasst die Schablinge den Feind zuerst angreifen! /// Let the roachlings attack the enemy first!
Conversation/zEvoMission_Roach/Line00054=Konzentriert den Angriff auf die Hetzer, bevor sie flüchten können! /// [Serious]Focus fire[/Serious] on the stalkers [Surprise 60]before [/Surprise]they [Serious]blink away![/Serious]
Conversation/zEvoMission_Roach/Line00055=Systeme versagen. Ich kann nicht ... angreifen. /// Systems unresponsive. Cannot... attack.
Conversation/zEvoMission_Roach/Line00056=Konzentriert … bleiben. /// Remain... focused.
Conversation/zEvoMission_Ultralisk/Comment00001=Gastank entdeckt /// Gas container discovered
Conversation/zEvoMission_Ultralisk/Comment00002=Sofort nach Generator-Explosion /// Immediately after exploding generator.
Conversation/zEvoMission_Ultralisk/Comment00003=Space-Marines kommen an. /// Marines enter.
Conversation/zEvoMission_Ultralisk/Comment00004=Ultralisken morphen /// Ultralisks morph.
Conversation/zEvoMission_Ultralisk/Comment00005=Nach Filmsequenz /// Post cinematic
Conversation/zEvoMission_Ultralisk/Comment00006=Gas wird ausgelöst. /// Gas goes off.
Conversation/zEvoMission_Ultralisk/Comment00007=Ende /// Ending
Conversation/zEvoMission_Ultralisk/Comment00008=Drop pods /// Drop-pods
Conversation/zEvoMission_Ultralisk/Comment00009=Alle Protoss getötet /// All protoss killed
Conversation/zEvoMission_Ultralisk/Comment00010=Erklärung: Tunnelangriff /// Explain burrow charge
Conversation/zEvoMission_Ultralisk/Comment00011=Aus Käfig ausgraben /// Burrow out of cage
Conversation/zEvoMission_Ultralisk/Comment00012=Alarme werden ausgelöst. /// Alarms go off.
Conversation/zEvoMission_Ultralisk/Comment00013=Bewegung verlangsamen /// Slow down moment
Conversation/zEvoMission_Ultralisk/Comment00014=Rufe für Space-Marines /// Marine shouts
Conversation/zEvoMission_Ultralisk/Comment00015=Ligawissenschaftler: Befehle /// Dominion Scientist Barks
Conversation/zEvoMission_Ultralisk/Comment00016=Missionsbeginn /// Mission Start
Conversation/zEvoMission_Ultralisk/Comment00017=Space-Marines /// Marines
Conversation/zEvoMission_Ultralisk/Comment00018=Nach Filmsequenz /// Post cinematic
Conversation/zEvoMission_Ultralisk/Comment00019=Ligadialoge /// Dominion dialogue
Conversation/zEvoMission_Ultralisk/Comment00020=Erster Ultralisk getötet. /// First Ultralisk killed.
Conversation/zEvoMission_Ultralisk/Comment00021=Ultraliskenverstärkung /// Ultralisk reinforcement
Conversation/zEvoMission_Ultralisk/Group00001=EvoMission_Ultralisk /// EvoMission_Ultralisk
Conversation/zEvoMission_Ultralisk/Group00002=Toxilisk /// Noxious
Conversation/zEvoMission_Ultralisk/Group00003=Torrasque /// Torrasque
Conversation/zEvoMission_Ultralisk/Group00004=Mittlere Filmsequenz /// Mid-cinematic.
Conversation/zEvoMission_Ultralisk/Group00005=Mittlere Filmsequenz /// Mid cinematic
Conversation/zEvoMission_Ultralisk/Group00006=VERALTET /// OBSOLETE
Conversation/zEvoMission_Ultralisk/Group00007=Weitere Nuklear-Angriffe /// Subsequent Nuke attacks
Conversation/zEvoMission_Ultralisk/Group00008=Split 1 /// Split 1
Conversation/zEvoMission_Ultralisk/Group00009=Split 2 /// Split 2
Conversation/zEvoMission_Ultralisk/Line00001=Warnung. Verwahrung der Versuchsobjekte versagt. Leite Verteidigungsmaßnahmen ein. /// Warning. Speciment containment failure. Enacting defense protocol.
Conversation/zEvoMission_Ultralisk/Line00003=Toxische Verbindung freigesetzt, großes Potential. Integriere in Ultralisken-Sequenz. /// Toxic compound released, great potential. Bonding to ultralisk sequences.
Conversation/zEvoMission_Ultralisk/Line00004=Modifiziere Ultralisken-Sequenz. Verschmelze mit Verbindung.  /// Modifying Ultralisk sequence. Forming bond with compound.
Conversation/zEvoMission_Ultralisk/Line00005=Anpassung vollständig. Verbesserte Ultralisken einsatzbereit. /// Adaptation complete. Augmented ultralisks, ready for combat.
Conversation/zEvoMission_Ultralisk/Line00006=Gattung Toxilisk: Stößt toxische Verbindung aus. Fügt nahen Feinden Schaden zu. /// Noxious strain: emits toxic compound. Damages nearby foes.
Conversation/zEvoMission_Ultralisk/Line00009=Forschungseinrichtung schwer beschädigt. Versuchsobjekte befreit. Gehe zum sekundären Schlachtfeld über. /// Research facility crippled. Specimens freed. Proceeding to subsequent battleground.
Conversation/zEvoMission_Ultralisk/Line00011=Gattung Ultralisk: Torrasque. Regeneriert totes Gewebe. Belebt Kreatur wieder. /// Ultralisk strain: torrasque. Resuscitates dead tissue. Revives creature.
Conversation/zEvoMission_Ultralisk/Line00012=Zusätzliche Ultralisken bereit. Übergabe jetzt. /// Additional ultralisks ready. Delivering now.
Conversation/zEvoMission_Ultralisk/Line00013=Anlage zerstört. Waffenexperimente nicht länger möglich. /// Facility destroyed. Experimental weapon production no longer possible.
Conversation/zEvoMission_Ultralisk/Line00014=Muss Ultralisken-Sequenz vorbereiten. Kehre in Evolutionsgrube zurück. /// Will prepare ultralisk sequence. Returning to evolution pit.
Conversation/zEvoMission_Ultralisk/Line00015=Ultralisk: kann sich vergraben und Feind anstürmen. Muss Käfig entkommen. /// Ultralisk: able to burrow and charge enemy. Escape cage.
Conversation/zEvoMission_Ultralisk/Line00018=Ultralisken befehligen. Sicherheitskonsole zerstören, gefangene Zerg befreien. /// Command ultralisks. Destroy security console, free captive zerg.
Conversation/zEvoMission_Ultralisk/Line00019=Nicht nachlassen, wir greifen weiter an. /// Press on, we continue the assault.
Conversation/zEvoMission_Ultralisk/Line00020=Was übersehe ich? /// What am I missing?
Conversation/zEvoMission_Ultralisk/Line00021=Das Versuchsobjekt hat sich befreit! /// The specimin has broken free!
Conversation/zEvoMission_Ultralisk/Line00022=Gattung Toxilisk: Setzt giftige Explosion frei. Fügt Feinden im Zielbereich Schaden zu. /// Noxious strain: releases poisonous explosion. Damages enemies in target area.
Conversation/zEvoMission_Ultralisk/Line00023=Aah! /// Aah!
Conversation/zEvoMission_Ultralisk/Line00024=Sicherheitsteam 4, was geht da drin vor? /// Security Squad 4, what is going on in there?
Conversation/zEvoMission_Ultralisk/Line00025=Das Versuchsobjekt nähert sich der Sicherheitszone! Alle Mannschaften zusammenrücken, sofort! /// The specimen is approaching the security wing! [Angry]All squads converge, now![/Angry]
Conversation/zEvoMission_Ultralisk/Line00026=Was macht ihr da? Schießt endlich! /// [Surprise 70]What are you people [/Surprise][Angry]doing? Shoot them![/Angry]
Conversation/zEvoMission_Ultralisk/Line00027=Fangt diese Exemplare ein oder der Imperator macht euch einen Kopf kürzer! /// Contain those specimens, or the emperor [Angry]will have your head![/Angry]
Conversation/zEvoMission_Ultralisk/Line00028=Das brennt! /// It burns!
Conversation/zEvoMission_Ultralisk/Line00029=Dafür hab ich mich nicht gemeldet! /// I didn't sign up for this!
