Character/Description/Hill,This is the same character that appears in the Wings of Liberty campaign. (Already cast). A gruff mercenary captain who has had a hard life on the battlefield, he fights for profit and not for a cause.=0
Character/Name/ArtanisUI,Артанис /// Artanis=1
VoiceOver/AbathurA/MutationComplete00,Мутация завершена. /// Mutation complete.=1333
VoiceOver/AbathurA/MutationComplete01,Гены изменены. Рой улучшен. /// Sequences, spun. Swarm, mutated.=1334
VoiceOver/AbathurA/NeedCreep00,Мутация должна проходить на слизи. /// Must be morphed on creep.=1335
VoiceOver/AbathurA/NeedGeyser00,Строение нужно разместить на веспеновом гейзере. /// Structure must be placed on vespene geyser.=1336
VoiceOver/AbathurA/NeedGeyser01,Гейзер необходим для мутации. /// Vespene geyser, required for morph.=1337
VoiceOver/AbathurA/NeedGeyserProtoss00,Нужно вызывать на веспеновом гейзере. /// Must be warped on vespene geyser.=1338
VoiceOver/AbathurA/NeedGeyserProtoss01,Требуется веспеновый гейзер. /// Vespene geyser required for warp.=1339
VoiceOver/AbathurA/NeedGeyserTerran00,Перерабатывающий завод: требует веспеновый гейзер. /// Refinery requires vespene geyser.=1340
VoiceOver/AbathurA/NeedGeyserTerran01,Нужен веспеновый гейзер. /// Vespene geyser required.=1341
VoiceOver/AbathurA/NeedMoreFood00,Нужно больше надзирателей. /// Must spawn more Overlords.=1342
VoiceOver/AbathurA/NeedMoreFood01,Недостаточно надзирателей. /// Insufficient Overlords.=1343
VoiceOver/AbathurA/NeedMoreFood02,Требуются дополнительные надзиратели. /// More Overlords required.=1344
VoiceOver/AbathurA/NeedMoreFoodProtoss00,Нужно вызвать дополнительные пилоны. /// Must construct additional pylons.=1345
VoiceOver/AbathurA/NeedMoreFoodProtoss01,Нужны дополнительные пилоны. /// Additional pylons required.=1346
VoiceOver/AbathurA/NeedMoreFoodProtoss02,Недостаточно припасов. Пилоны неэффективны. /// Inadequate supply. Pylons, inefficient.=1347
VoiceOver/AbathurA/NeedMoreFoodTerran00,Нужны дополнительные хранилища. /// Additional supply depots required.=1348
VoiceOver/AbathurA/NeedMoreFoodTerran01,Недостаточно хранилищ. Нужно построить больше. /// Must build more supply depots.=1349
VoiceOver/AbathurA/NeedMoreFoodTerran02,Хранилищ: недостаточно. Надзиратели: лучше. /// Supply depots, insufficient. Overlords, superior.=1350
VoiceOver/AbathurA/NeedMoreGas00,Требуется больше веспена. /// Additional vespene gas required.=1351
VoiceOver/AbathurA/NeedMoreGas01,Недостаточно веспена. /// Insufficient vespene gas.=1352
VoiceOver/AbathurA/NeedMoreGas02,Нужно больше веспена. /// Need more vespene gas.=1353
VoiceOver/AbathurA/NeedMoreMinerals00,Требуется больше минералов. /// Mineral quantity insufficient.=1354
VoiceOver/AbathurA/NeedMoreMinerals01,Нужно больше минералов. /// More minerals required.=1355
VoiceOver/AbathurA/NeedMoreMinerals02,Недостаточно минералов. /// Not enough minerals.=1356
VoiceOver/AbathurA/NotEnoughEnergy00,Недостаточно энергии. /// Insufficient energy.=1357
VoiceOver/AbathurA/NotEnoughEnergy01,Недостаточно энергии. /// Not enough energy.=1358
VoiceOver/AbathurA/NukeReady00,Ядерное оружие: готово. /// Nuclear ordnance, primed.=1359
VoiceOver/AbathurA/NukeReady01,Ядерная ракета: готова к запуску. /// Nuclear warhead prepared for launch.=1360
VoiceOver/AbathurA/PlaceInPowerField00,Нужно разместить в энергетическом поле. /// Must be placed in power field.=1361
VoiceOver/AbathurA/PylonUnderAttack00,Пилон: атакован. /// Pylon, under assault.=1362
VoiceOver/AbathurA/QueenDeployed00,Королева успешно создана. /// Queen birth successful.=1363
VoiceOver/AbathurA/QueenDeployed01,Новая королева создана.  /// Newly birthed queen, ready.=1364
VoiceOver/AbathurA/ResearchComplete00,Разработка завершена. /// Research, completed.=1365
VoiceOver/AbathurA/ResearchComplete01,Новая технология получена. /// New technology, researched.=1366
VoiceOver/AbathurA/SalvageComplete00,Демонтаж завершен. /// Wreckage salvaged.=1367
VoiceOver/AbathurA/ThorRepaired00,«Тор»: отремонтирован. /// Thor, repaired.=1368
VoiceOver/AbathurA/Transmission00,Передача получена. /// Transmission received.=1369
VoiceOver/AbathurA/TumorUnderAttack00,Опухоль атакована. /// Creep Tumor under attack.=1370
VoiceOver/AbathurA/UpgradeComplete00,Улучшение завершено. /// Upgrade, completed.=1371
VoiceOver/AbathurA/UpgradeComplete01,Войска улучшены. /// Army, upgraded.=1372
VoiceOver/AbathurA/WarpInComplete00,Вызов: завершен. /// Warp in, complete.=1373
VoiceOver/AbathurA/WarpInComplete01,Вызов: прошел успешно. /// Warp successful.=1374
VoiceOver/AbathurA/WorkersUnderAttack00,Рабочие атакованы. /// Drones under attack.=1375
VoiceOver/AbathurA/WorkersUnderAttack01,Противник атакует рабочих. /// Enemy, assaulting drones.=1376
VoiceOver/AbathurA/WorkersUnderAttackProtoss00,Зонды атакованы. /// Probes under attack.=1377
VoiceOver/AbathurA/WorkersUnderAttackProtoss01,Противник атакует зонды. /// Enemy assaulting probes.=1378
VoiceOver/AbathurA/WorkersUnderAttackTerran00,КСМы под атакой. /// SCVs under attack.=1379
VoiceOver/AbathurA/WorkersUnderAttackTerran01,Противник атакует КСМы. /// Enemy attacking SCVs.=1380
VoiceOver/AlarakA/AddOnComplete00,Твоя жалкая пристройка завершена. /// Your little add-on is complete.=1381
VoiceOver/AlarakA/AddOnComplete01,Пристройка завершена. Хотя какой в ней прок... /// Add-on complete, for what little good it does.=1382
VoiceOver/AlarakA/AllyBaseUnderAttack00,База союзника подверглась нападению. /// Your ally's base is besieged.=1383
VoiceOver/AlarakA/AllyUnderAttack00,Твои союзники вступили в бой без тебя. /// Your allies have entered combat without you.=1384
VoiceOver/AlarakA/BadLZ00,Твои бездарные инженеры не смогут там приземлиться. /// Your engineers are too inept to land there.=1385
VoiceOver/AlarakA/BaseUnderAttack00,Твоя база подверглась нападению. /// Your base is under assault.=1386
VoiceOver/AlarakA/BuildError00,Это даже не похоже на подходящее место для вызова. /// Did you think you could warp there?=1387
VoiceOver/AlarakA/BuildErrorTerran00,Здесь строить нельзя. /// It is impossible to build there.=1388
VoiceOver/AlarakA/BuildErrorZerg00,Это невозможно. /// Impossible.=1389
VoiceOver/AlarakA/CalldownLaunch00,О, знаменитый ядерный удар терранов. Какое примитивное оружие. /// Ah, the famed terran nuke. Such a quaint weapon.=1390
VoiceOver/AlarakA/CalldownLaunch01,Терраны применили ядерный удар. Какая дерзость. /// The terrans have brazenly launched a nuke.=1391
VoiceOver/AlarakA/CommandCenterUpgraded00,Твой командный центр улучшен. /// Your command center has been upgraded.=1392
VoiceOver/AlarakA/ConstructInterrupt00,Твои бесхребетные рабочие остановили строительство. /// Your spineless workers have stopped construction.=1393
VoiceOver/AlarakA/Countdown00,Пять... четыре... три... два... один... /// Five... Four... Three... Two... One...=1394
VoiceOver/AlarakA/EvolutionComplete00,Твои зерги эволюционировали, вот только пойдет ли им это на пользу?=1395
VoiceOver/AlarakA/EvolutionComplete01,Эволюция завершена. Возможно, она даже принесет пользу. /// Evolution complete. Perhaps it will even suffice.=1396
VoiceOver/AlarakA/ForcesUnderAttack00,Твои воины обнажили клинки. /// Your warriors have ignited their blades.=1397
VoiceOver/AlarakA/ForcesUnderAttackTerran00,Твои терраны, похоже, слишком торопятся умереть. /// Your terran forces seem eager to die.=1398
VoiceOver/AlarakA/ForcesUnderAttackZerg00,Твои зерги пролили кровь врага. /// Your zerg have bloodied their claws.=1399
VoiceOver/AlarakA/GamePaused00,Не заставляй меня ждать. /// Do not keep me waiting.=1400
VoiceOver/AlarakA/GameResumed00,Наконец-то. /// Finally.=1401
VoiceOver/AlarakA/GeyserExhausted00,Этот веспеновый гейзер полностью истощен. /// You've harvested all the vespene from that geyser.=1402
VoiceOver/AlarakA/GeyserExhausted01,От этого гейзера толку больше не будет. /// This geyser has outlived its usefulness.=1403
VoiceOver/AlarakA/GeyserExhaustedTerran00,Твоему перерабатывающему заводу больше нечего перерабатывать. /// Your refinery has nothing left to refine.=1404
VoiceOver/AlarakA/GeyserExhaustedTerran01,Веспеновый гейзер истощен. Перерабатывающий завод теперь бесполезен. /// That geyser's vespene is gone. Your refinery is now useless.=1405
VoiceOver/AlarakA/GeyserExhaustedZerg00,Из этого гейзера добыт весь веспен. /// You've extracted all of that geyser's vespene.=1406
VoiceOver/AlarakA/GeyserExhaustedZerg01,Пытаться добыть веспен из пустого гейзера – бессмысленное занятие. /// It is futile to continue extracting from that geyser.=1407
VoiceOver/AlarakA/LandingInterrupt00,Нужно расчистить посадочную площадку. Предлагаю перебить тех, кто ее занял. /// The landing zone is occupied. I say crush them.=1408
VoiceOver/AlarakA/MULEDeployed00,МУЛ активирован. Название говорит само за себя. /// MULE deployed. A fitting name for a terran tool.=1409
VoiceOver/AlarakA/MaxSupply00,Твой лимит припасов исчерпан. /// You cannot acquire any additional supply.=1410
VoiceOver/AlarakA/MaxSupply01,Достигнут максимальный лимит припасов. /// You have already reached maximum supply.=1411
VoiceOver/AlarakA/MetamorphosisComplete00,Развитие завершено. Отвратительный процесс. /// Metamorphosis complete. A hideous practice.=1412
VoiceOver/AlarakA/MetamorphosisComplete01,О, развитие прошло успешно. /// Ah, a successful metamorphosis.=1413
VoiceOver/AlarakA/MineralsDepleted00,Месторождение минералов выработано. /// Mineral field depleted.=1414
VoiceOver/AlarakA/MineralsDepleted01,На этом месторождении не осталось минералов. /// There are no minerals left to mine from that field.=1415
VoiceOver/AlarakA/MineralsDepleted02,Все минералы на этом месторождении собраны. /// Your have already gathered all of that field's minerals.=1416
VoiceOver/AlarakA/MutationComplete00,Мутация завершена. Она может оказаться полезной. /// Mutation complete. This could prove useful.=1417
VoiceOver/AlarakA/MutationComplete01,С этой мутацией твои зерги получили незначительные преимущества. /// Your zerg have mutated some minor improvements.=1418
VoiceOver/AlarakA/NeedCreep00,Для этого требуется слизь. Самое слабое место зергов. /// That requires creep. A critical zerg weakness.=1419
VoiceOver/AlarakA/NeedGeyser00,Для ассимилятора нужен веспеновый гейзер. /// Assimilators require vespene geysers.=1420
VoiceOver/AlarakA/NeedGeyser01,Что толку от ассимилятора без гейзера? /// What good is an assimilator without a geyser?=1421
VoiceOver/AlarakA/NeedMoreFood00,Тебе нужно построить больше пилонов. /// You must construct additional pylons.=1422
VoiceOver/AlarakA/NeedMoreFood01,Тебе не хватает припасов. /// You have insufficient supply.=1423
VoiceOver/AlarakA/NeedMoreFood02,На твоем месте я бы вызвал больше пилонов. /// I'd warp in more pylons if I were you.=1424
VoiceOver/AlarakA/NeedMoreFoodTerran00,Твоим жалким терранам требуется больше хранилищ. /// Your feeble terrans are in need of more supply depots.=1425
VoiceOver/AlarakA/NeedMoreFoodTerran01,Сначала нужно построить дополнительные хранилища. /// You must first construct additional supply depots.=1426
VoiceOver/AlarakA/NeedMoreFoodTerran02,Похоже, требуются дополнительные хранилища. /// It seems additional supply depots are required.=1427
VoiceOver/AlarakA/NeedMoreFoodZerg00,Породи еще этих раздувшихся надзирателей. /// Spawn more of those bulbous overlords.=1428
VoiceOver/AlarakA/NeedMoreFoodZerg01,Твоя стая не сможет расти без надзирателей. /// Your brood cannot grow without overlords.=1429
VoiceOver/AlarakA/NeedMoreFoodZerg02,Тебе нужно больше надзирателей. Как же они омерзительны... /// You require more overlords. Disgusting creatures.=1430
VoiceOver/AlarakA/NeedMoreGas00,Требуется больше веспена. /// You require more vespene gas.=1431
VoiceOver/AlarakA/NeedMoreGas01,На это тебе не хватит веспена. /// There is not enough vespene for that.=1432
VoiceOver/AlarakA/NeedMoreGas02,Следи за ресурсами. Тебе нужно больше веспена. /// Pay attention. You need more vespene.=1433
VoiceOver/AlarakA/NeedMoreMinerals00,У тебя слишком мало минералов. /// You have too few minerals.=1434
VoiceOver/AlarakA/NeedMoreMinerals01,Сначала собери побольше минералов. /// Gather more minerals first.=1435
VoiceOver/AlarakA/NeedMoreMinerals02,Твоим рабочим нужно добыть больше минералов. /// Your workers must gather more minerals.=1436
VoiceOver/AlarakA/NotEnoughEnergy00,Недостаточно энергии. /// Not enough energy.=1437
VoiceOver/AlarakA/NotEnoughEnergy01,Не хватает энергии. /// Insufficient energy.=1438
VoiceOver/AlarakA/NukeReady00,Ядерная боеголовка готова. Смотри не подорвись.=1439
VoiceOver/AlarakA/NukeReady01,Ядерный удар подготовлен. Я уже весь в предвкушении. /// Your nuke is armed. Oh, I look forward to this.=1440
VoiceOver/AlarakA/PlaceInPowerField00,Это нужно разместить в энергетическом поле. /// You must place that in a power field.=1441
VoiceOver/AlarakA/PylonUnderAttack00,Твой противник атакует пилон. /// Your enemy strikes at a pylon.=1442
VoiceOver/AlarakA/QueenDeployed00,Появилась новая королева. /// A new queen has emerged.=1443
VoiceOver/AlarakA/QueenDeployed01,Твои зерги породили новую королеву. /// Your zerg have birthed a new queen.=1444
VoiceOver/AlarakA/ResearchComplete00,Разработка завершена. /// Research complete.=1445
VoiceOver/AlarakA/ResearchComplete01,Текущая разработка завершена. /// Your research has concluded.=1446
VoiceOver/AlarakA/SalvageComplete00,Демонтаж завершен. Такая работа как раз для тебя. /// Salvage complete. You excel at scavenging.=1447
VoiceOver/AlarakA/ThorRepaired00,Твой «Тор» готов снова развалиться на части. /// Your thor is ready to fail you again.=1448
VoiceOver/AlarakA/Transmission00,Ты получаешь сообщение. /// You are receiving a transmission.=1449
VoiceOver/AlarakA/TumorUnderAttack00,Твоя мерзкая опухоль подверглась нападению. /// Your putrid creep tumor is under attack.=1450
VoiceOver/AlarakA/UpgradeComplete00,Улучшение завершено. /// Upgrade complete.=1451
VoiceOver/AlarakA/UpgradeComplete01,Улучшение готово к использованию. /// Your upgrade is ready for use.=1452
VoiceOver/AlarakA/WarpInComplete00,Вызов завершен. /// Warp in complete.=1453
VoiceOver/AlarakA/WarpInComplete01,Пространственное перемещение завершено. /// Dimensional warp complete.=1454
VoiceOver/AlarakA/WorkersUnderAttack00,Противник атакует твои зонды. /// The enemy is attacking your probes.=1455
VoiceOver/AlarakA/WorkersUnderAttack01,Твои зонды остались без прикрытия. /// You have left your probes undefended.=1456
VoiceOver/AlarakA/WorkersUnderAttackTerran00,Противник уничтожает твои КСМы. /// The enemy is slaying your SCVs.=1457
VoiceOver/AlarakA/WorkersUnderAttackTerran01,Твои КСМы слишком легко умирают! /// Your SCVs die so easily!=1458
VoiceOver/AlarakA/WorkersUnderAttackZerg00,Твои рабочие скоро будут истреблены. /// Your drones are being exterminated.=1459
VoiceOver/AlarakA/WorkersUnderAttackZerg01,Противник уничтожает твоих рабочих. /// The enemy is crushing your drones.=1460
VoiceOver/ArtanisA/AddOnComplete00,Пристройка завершена. /// Add-on complete.=1461
VoiceOver/ArtanisA/AddOnComplete01,Пристройка готова. /// The add-on has been constructed.=1462
VoiceOver/ArtanisA/AllyBaseUnderAttack00,База союзников подверглась нападению! /// Our allies' base is under siege!=1463
VoiceOver/ArtanisA/AllyUnderAttack00,Наши союзники вступили в бой. /// Our allies are engaged in battle.=1464
VoiceOver/ArtanisA/BadLZ00,Здесь нельзя приземлиться. /// Unable to land there.=1465
VoiceOver/ArtanisA/BaseUnderAttack00,Наша база атакована. /// Our base is under siege.=1466
VoiceOver/ArtanisA/BuildError00,Мы не можем вызвать здесь строение. /// We cannot warp there.=1467
VoiceOver/ArtanisA/BuildErrorTerran00,Здесь строить нельзя. /// We cannot build there.=1468
VoiceOver/ArtanisA/BuildErrorZerg00,Невыполнимая команда. /// That command is unacceptable.=1469
VoiceOver/ArtanisA/CalldownLaunch00,Терраны запустили ядерную ракету. /// The terrans have launched a nuclear weapon.=1470
VoiceOver/ArtanisA/CalldownLaunch01,Запущена ядерная ракета. /// A nuclear launch has been detected.=1471
VoiceOver/ArtanisA/CommandCenterUpgraded00,Командный центр улучшен. /// Command center upgraded.=1472
VoiceOver/ArtanisA/ConstructInterrupt00,Строительство прервано. Если бы только эти здания можно было вызывать... /// Construction has been interrupted. If only we could warp these in...=1473
VoiceOver/ArtanisA/Countdown00,Пять... четыре... три... два... один... /// Five... Four... Three... Two... One...=1474
VoiceOver/ArtanisA/EvolutionComplete00,Эволюция завершена. /// Evolution complete.=1475
VoiceOver/ArtanisA/EvolutionComplete01,Твои отвратительные зерги эволюционировали. /// Your detestable zerg have evolved.=1476
VoiceOver/ArtanisA/ForcesUnderAttack00,Перворожденные вступили в бой. /// The firstborn have engaged the enemy.=1477
VoiceOver/ArtanisA/ForcesUnderAttackTerran00,Наши воины вступили в бой. /// Our army has engaged the enemy.=1478
VoiceOver/ArtanisA/ForcesUnderAttackZerg00,Твоя стая вступила в бой с противником. /// Your brood has encountered the enemy.=1479
VoiceOver/ArtanisA/GamePaused00,Воины, нам придется повременить. /// Warriors, it appears we must hold.=1480
VoiceOver/ArtanisA/GameResumed00,Битва разгорается вновь! /// The battle rages once more!=1481
VoiceOver/ArtanisA/GeyserExhausted00,Запасы веспена в этом гейзере истощены. /// A vespene geyser has been exhausted.=1482
VoiceOver/ArtanisA/GeyserExhausted01,Веспеновый гейзер иссяк. /// Vespene geyser exhausted.=1483
VoiceOver/ArtanisA/GeyserExhaustedTerran00,Веспеновый гейзер иссяк. /// A vespene geyser has been depleted.=1484
VoiceOver/ArtanisA/GeyserExhaustedTerran01,Мы переработали весь веспен из этого гейзера. /// We have refined all of this geyser's vespene.=1485
VoiceOver/ArtanisA/GeyserExhaustedZerg00,Веспен в этом гейзере полностью иссяк. /// This geyser's vespene has been fully extracted.=1486
VoiceOver/ArtanisA/GeyserExhaustedZerg01,Веспеновый гейзер иссяк. /// Vespene geyser exhausted.=1487
VoiceOver/ArtanisA/LandingInterrupt00,Область приземления не расчищена. /// The landing zone is obstructed.=1488
VoiceOver/ArtanisA/MULEDeployed00,Размещаю... МУЛы? Ох уж эти терранские названия... /// Deploying... MULEs? These terran names...=1489
VoiceOver/ArtanisA/MaxSupply00,Это невозможно. У нас максимальное количество припасов. /// That is not possible. We are at maximum supply.=1490
VoiceOver/ArtanisA/MaxSupply01,Мы не можем поддерживать больше воинов. /// We can support no more warriors.=1491
VoiceOver/ArtanisA/MetamorphosisComplete00,Развитие завершено. /// Metamorphosis complete.=1492
VoiceOver/ArtanisA/MetamorphosisComplete01,Развитие прошло успешно. /// Metamorphosis successful.=1493
VoiceOver/ArtanisA/MineralsDepleted00,Месторождение минералов выработано. /// Mineral field depleted.=1494
VoiceOver/ArtanisA/MineralsDepleted01,Месторождение минералов опустело. /// A mineral field has been depleted.=1495
VoiceOver/ArtanisA/MineralsDepleted02,Мы выработали месторождение минералов. /// We've depleted a mineral field.=1496
VoiceOver/ArtanisA/MutationComplete00,Мутация завершена. /// Mutation complete.=1497
VoiceOver/ArtanisA/MutationComplete01,Твои кошмарные зерги мутировали в нечто новое. /// Your grotesque zerg have mutated into something new.=1498
VoiceOver/ArtanisA/NeedCreep00,Эта мутация должна осуществляться на слизи. /// That must be morphed on creep.=1499
VoiceOver/ArtanisA/NeedGeyser00,Это можно разместить только на веспеновом гейзере. /// That can only be placed on a vespene geyser.=1500
VoiceOver/ArtanisA/NeedGeyserProtoss00,Ассимилятор нужно разместить на веспеновом гейзере. /// Our assimilator must be placed on a vespene geyser.=1501
VoiceOver/ArtanisA/NeedMoreFood00,Нам нужно построить больше пилонов. /// We must construct additional pylons.=1502
VoiceOver/ArtanisA/NeedMoreFood01,Нам нужно больше припасов. /// Our supply is constrained.=1503
VoiceOver/ArtanisA/NeedMoreFood02,Нам нужны дополнительные пилоны. /// We require additional pylons.=1504
VoiceOver/ArtanisA/NeedMoreFoodTerran00,Нам нужно больше хранилищ. /// We require additional supply depots.=1505
VoiceOver/ArtanisA/NeedMoreFoodTerran01,Тебе нужно построить больше хранилищ. /// You must construct additional supply depots.=1506
VoiceOver/ArtanisA/NeedMoreFoodTerran02,Для этого понадобятся дополнительные хранилища. /// That necessitates additional supply depots.=1507
VoiceOver/ArtanisA/NeedMoreFoodZerg00,Нужно породить больше надзирателей. /// Spawn more overlords.=1508
VoiceOver/ArtanisA/NeedMoreFoodZerg01,Твоей омерзительной стае требуется больше надзирателей. /// Your disgusting brood needs more overlords.=1509
VoiceOver/ArtanisA/NeedMoreFoodZerg02,Требуется больше надзирателей. /// Additional overlords are required.=1510
VoiceOver/ArtanisA/NeedMoreGas00,Нам нужно больше веспена. /// We require more vespene gas.=1511
VoiceOver/ArtanisA/NeedMoreGas01,У нас недостаточно веспена. /// We have not enough vespene.=1512
VoiceOver/ArtanisA/NeedMoreGas02,Нужно больше веспена. /// More vespene is required.=1513
VoiceOver/ArtanisA/NeedMoreMinerals00,Не хватает минералов. /// There are not enough minerals.=1514
VoiceOver/ArtanisA/NeedMoreMinerals01,Нужно больше минералов. /// More minerals required.=1515
VoiceOver/ArtanisA/NeedMoreMinerals02,Недостаточно минералов. /// Insufficient minerals.=1516
VoiceOver/ArtanisA/NotEnoughEnergy00,Не хватает энергии. /// Insufficient energy.=1517
VoiceOver/ArtanisA/NotEnoughEnergy01,Недостаточно энергии. /// Not enough energy.=1518
VoiceOver/ArtanisA/NukeReady00,Ядерная боеголовка готова. /// Nuclear payload primed.=1519
VoiceOver/ArtanisA/NukeReady01,Ядерная боеголовка готова к запуску. /// Our nuclear weapon has been armed.=1520
VoiceOver/ArtanisA/PlaceInPowerField00,Строение должно находиться внутри энергетического поля. /// That must be placed within the power field.=1521
VoiceOver/ArtanisA/PylonUnderAttack00,Наш пилон атакован. /// Our pylon is under attack.=1522
VoiceOver/ArtanisA/QueenDeployed00,Рождена новая королева. /// A new queen has been birthed.=1523
VoiceOver/ArtanisA/QueenDeployed01,Появилась новая королева. /// A queen has emerged.=1524
VoiceOver/ArtanisA/ResearchComplete00,Разработка завершена. /// Research complete.=1525
VoiceOver/ArtanisA/ResearchComplete01,Разработка завершена. /// Our research is complete.=1526
VoiceOver/ArtanisA/SalvageComplete00,Мы демонтировали обломки. /// We have salvaged a wreckage.=1527
VoiceOver/ArtanisA/ThorRepaired00,Наш «Тор» отремонтирован. /// Our Thor has been repaired.=1528
VoiceOver/ArtanisA/Transmission00,Мы получаем сигнал связи. /// We are receiving a transmission.=1529
VoiceOver/ArtanisA/TumorUnderAttack00,Опухоль атакована. /// A creep tumor is under attack.=1530
VoiceOver/ArtanisA/UpgradeComplete00,Улучшение завершено. /// Upgrade complete.=1531
VoiceOver/ArtanisA/UpgradeComplete01,Улучшение завершено! /// Our upgrade has finished.=1532
VoiceOver/ArtanisA/WarpInComplete00,Пространственное перемещение завершено. /// Dimensional warp complete.=1533
VoiceOver/ArtanisA/WarpInComplete01,Вызов завершен. /// Warp in complete.=1534
VoiceOver/ArtanisA/WorkersUnderAttack00,Наши зонды атакованы. /// Our probes are under attack!=1535
VoiceOver/ArtanisA/WorkersUnderAttack01,Враг напал на наши зонды! /// The enemy is attacking our probes!=1536
VoiceOver/ArtanisA/WorkersUnderAttackTerran00,Наши КСМ атакованы. /// Our SCVs are under assault.=1537
VoiceOver/ArtanisA/WorkersUnderAttackTerran01,Противник атакует наши КСМ. /// The enemy is attacking our SCVs.=1538
VoiceOver/ArtanisA/WorkersUnderAttackZerg00,Рабочие подверглись нападению. /// Drones are under attack.=1539
VoiceOver/ArtanisA/WorkersUnderAttackZerg01,Твои рабочие скоро будут истреблены. /// Your drones are being exterminated.=1540
VoiceOver/DVaA/AddOnComplete00,Пристройка завершена. /// Add-on complete. =1541
VoiceOver/DVaA/AddOnComplete01,Пристройка готова! Долго все как-то. /// Add-on's done! Took long enough!=1542
VoiceOver/DVaA/AddOnComplete02,Пристройка готова. /// Add-on's finished.=1543
VoiceOver/DVaA/AllyBaseUnderAttack00,На базу союзника напали! Давай, спасай катку! /// Your ally's base is under attack! Get ready to carry.=1544
VoiceOver/DVaA/AllyBaseUnderAttack01,Базу нашего союзника атакуют. /// Our ally's base is under attack.=1545
VoiceOver/DVaA/AllyBaseUnderAttack02,База союзников подверглась нападению! /// Your allies' base is besieged!=1546
VoiceOver/DVaA/AllyBaseUnderAttack03,На базу наших союзников напали. /// Our allies' base is threatened.=1547
VoiceOver/DVaA/AllyUnderAttack00,На твоего союзника напали! Живо на помощь! /// Your ally's being attacked! 가서 도와 줘!=1548
VoiceOver/DVaA/AllyUnderAttack01,Войска союзников атакованы. /// Our allies are being attacked.=1549
VoiceOver/DVaA/AllyUnderAttack02,Твои союзники вступили в бой. /// Your allies are in battle.=1550
VoiceOver/DVaA/AllyUnderAttack03,Наши союзники вступили в бой. /// Our allies are in combat.=1551
VoiceOver/DVaA/BadLZ00,Здесь нельзя приземлиться! Что ты творишь? /// You can't land there! 뭐 하삼?=1552
VoiceOver/DVaA/BadLZ01,Неподходящее место для посадки. /// Unacceptable landing zone.=1553
VoiceOver/DVaA/BaseUnderAttack00,Твою базу атакуют. Только без паники! /// Your base is under attack! Stay cool.=1554
VoiceOver/DVaA/BaseUnderAttack01,База атакована. /// Base is under attack.=1555
VoiceOver/DVaA/BaseUnderAttack02,Там на твою базу напали, ты в курсе? /// They're attacking your base, you know.=1556
VoiceOver/DVaA/BuildError00,Здесь нельзя строить! /// You can't build there!=1557
VoiceOver/DVaA/BuildErrorProtoss00,Сюда нельзя вызвать! Будь внимательней! /// You can't warp in there! Pay attention!=1558
VoiceOver/DVaA/BuildErrorZerg00,Лол, так нельзя! /// LOL, you can't do that.=1559
VoiceOver/DVaA/CalldownLaunch00,Обнаружена ядерка. ГГ! /// Nuke detected. GG!=1560
VoiceOver/DVaA/CalldownLaunch01,Ядерка пошла! Уж постарайся обнаружить ее вовремя! /// Incoming nuke! Hope you have detection!=1561
VoiceOver/DVaA/CalldownLaunch02,Обнаружен запуск ядерной ракеты. /// Nuclear launch detected.=1562
VoiceOver/DVaA/CommandCenterUpgraded00,Командный центр улучшен! /// CC's upgraded!=1563
VoiceOver/DVaA/ConstructInterrupt00,Твой КСМ прервали. Тупые терранские механики. /// Your SCV's been interrupted. Stupid Terran.=1564
VoiceOver/DVaA/Countdown00,Пять... четыре... три... два... один... /// Five... Four... Three... Two...  One...=1565
VoiceOver/DVaA/EvolutionComplete00,Эволюция завершена. Ха-а, олдскул! /// Evolution complete. Haha, so old school!=1566
VoiceOver/DVaA/EvolutionComplete01,У тебя тут зерги эволюционировали. Ура, ура! /// You've evolved your zerg. 앗싸!=1567
VoiceOver/DVaA/EvolutionComplete02,Эволюция завершена. /// Evolution complete.=1568
VoiceOver/DVaA/ForcesUnderAttack00,Твои войска вступают в бой. Пора поднять свой АПМ! /// You're engaging the opponent. Time to raise your APM!=1569
VoiceOver/DVaA/ForcesUnderAttack01,Твои войска получают урон! Огромный, огромный урон! /// Your forces are taking damage! Terrible, terrible damage!=1570
VoiceOver/DVaA/ForcesUnderAttack02,На твои войска напали. /// Your forces are under attack.=1571
VoiceOver/DVaA/ForcesUnderAttack03,Наши войска атакуют. /// Our forces are under attack.=1572
VoiceOver/DVaA/ForcesUnderAttack04,Твои войска вступили в бой. /// Your warriors have engaged the enemy.=1573
VoiceOver/DVaA/GamePaused00,АФК! /// AFK!=1574
VoiceOver/DVaA/GameResumed00,Все, я тут. Скучали? /// Okay, back. Did you miss me?=1575
VoiceOver/DVaA/GeyserExhausted00,Веспеновый гейзер иссяк. /// Vepsene geyser exhausted.=1576
VoiceOver/DVaA/GeyserExhausted01,Гейзер кончился! Жаль, золотого газа в этой игре нет. /// Geyser's empty! If only this game had gold gas.=1577
VoiceOver/DVaA/LandingInterrupt00,Расчисти место для посадки! И учись микрить! /// Clear the landing zone! And work on that micro.=1578
VoiceOver/DVaA/LandingInterrupt01,Посадка прервана. /// Landing sequence interrupted.=1579
VoiceOver/DVaA/MULEDeployed00,МУЛ пошел! Ваще-е! /// MULE deployed! 저것 봐!=1580
