Conversation/DEBUG_FaceAnimTest/Group00001=Kerrigan /// Kerrigan
Conversation/DEBUG_FaceAnimTest/Group00002=Isza /// Izsha
Conversation/DEBUG_FaceAnimTest/Group00003=Zagara /// Zagara
Conversation/DEBUG_FaceAnimTest/Group00004=Stiukow /// Stukov
Conversation/DEBUG_FaceAnimTest/Group00005=Valerian /// Valerian
Conversation/DEBUG_FaceAnimTest/Group00006=Dehaka /// Dehaka
Conversation/DEBUG_FaceAnimTest/Group00007=Lasarra /// Lasarra
Conversation/DEBUG_FaceAnimTest/Group00008=Zainfekowana Kerrigan /// Kerrigan Infested
Conversation/zLabArc_Abilities/Group00001=Przypomnienia o umiejętności - NIEAKTUALNE /// Ability Reminders - OBSOLETE
Conversation/zLabArc_Abilities/Line00001=Powinnam użyć wybuchu kinetycznego. /// I should use kinetic blast!
Conversation/zLabArc_Abilities/Line00002=Dobry moment na wybuch kinetyczny. /// This is a good time for a kinetic blast.
Conversation/zLabArc_Abilities/Line00004=Facet aż się prosi o wybuch kinetyczny. /// This guy's begging for a kinetic blast.
Conversation/zLabArc_Abilities/Line00005=Mogę na chwilę obezwładnić wrogów miażdżącym chwytem. /// I can use crushing grip to disable enemies for a while.
Conversation/zLabArc_Abilities/Line00006=Miażdżący chwyt by teraz pomógł. /// Crushing grip would be useful, right now.
Conversation/zLabArc_Abilities/Line00007=Powinnam obezwładnić wrogów miażdżącym chwytem. /// I should disable these enemies with crushing grip.
Conversation/zLabArc_Abilities/Line00008=Muszę pamiętać o używaniu zdolności psionicznych. /// Gotta remember to use my psionic abilities.
Conversation/zMission_Char01/Comment00001=Kerrigan stands with her troops. Zagara approaches. /// Kerrigan stands with her troops. Zagara approaches.
Conversation/zMission_Char01/Comment00002=The troops start toward Zagara. /// The troops start toward Zagara.
Conversation/zMission_Char01/Comment00003=The troops stop. /// The troops stop.
Conversation/zMission_Char01/Comment00004=If Kerrigan Dead: /// If Kerrigan Dead:
Conversation/zMission_Char01/Comment00005=Reveal 3 /// Reveal 3
Conversation/zMission_Char01/Comment00006=Warning Sound! /// Warning Sound!
Conversation/zMission_Char01/Comment00007=Final death during Mega Attack on Zagara's base: /// Final death during Mega Attack on Zagara's base:
Conversation/zMission_Char01/Comment00008=Final Revival before Mega Attack on Zagara's base: /// Final Revival before Mega Attack on Zagara's base:
Conversation/zMission_Char01/Comment00009=Zagara 1/4 done /// Zagara 1/4 done
Conversation/zMission_Char01/Comment00010=Zagara 1/2 done /// Zagara 1/2 done
Conversation/zMission_Char01/Comment00011=Zagara 3/4 done /// Zagara 3/4 done
Conversation/zMission_Char01/Comment00012=Zagara 90% done /// Zagara 90% done
Conversation/zMission_Char01/Comment00013=Kerrigan 1/2 done /// Kerrigan 1/2 done
Conversation/zMission_Char01/Comment00014=Kerrigan 90% done /// Kerrigan 90% done
Conversation/zMission_Char01/Comment00015=Introduce secondary objective. /// Introduce secondary objective.
Conversation/zMission_Char01/Comment00016=If Kerrigan Dead: /// If Kerrigan Dead:
Conversation/zMission_Char01/Comment00019=Secondary complete, eggs <100 /// Secondary complete, eggs <100
Conversation/zMission_Char01/Comment00020=Secondary complete, eggs =100 /// Secondary complete, eggs =100
Conversation/zMission_Char01/Comment00021=If a huge wave is incoming: /// If a huge wave is incoming:
Conversation/zMission_Char01/Comment00022=Else if a regular wave is incoming: /// Else if a regular wave is incoming:
Conversation/zMission_Char01/Comment00023=The first time Zagara dies, play this line after Zagara's death line: /// The first time Zagara dies, play this line after Zagara's death line:
Conversation/zMission_Char01/Comment00024=Time for bonus objective. Ping location /// Time for bonus objective. Ping location
Conversation/zMission_Char01/Comment00025=Reveal 2 /// Reveal 2
Conversation/zMission_Char01/Comment00027=One hatchery destroyed. /// One hatchery destroyed.
Conversation/zMission_Char01/Comment00028=2nd destroyed. /// 2nd destroyed.
Conversation/zMission_Char01/Group00001=Char01 /// Char01
Conversation/zMission_Char01/Group00002=Crit Path /// Crit Path
Conversation/zMission_Char01/Group00003=Secondary Objective /// Secondary Objective
Conversation/zMission_Char01/Group00004=Cinematics /// Cinematics
Conversation/zMission_Char01/Group00005=End /// End
Conversation/zMission_Char01/Group00006=Uwzględnia kontekst /// Context Sensitive
Conversation/zMission_Char01/Group00007=Mid /// Mid
Conversation/zMission_Char01/Group00008=Player left base unprotected. /// Player left base unprotected.
Conversation/zMission_Char01/Group00009=Egg Minimap reveal /// Egg Minimap reveal
Conversation/zMission_Char01/Group00010=Zagara attacks /// Zagara attacks
Conversation/zMission_Char01/Group00011=Special Attack Wave /// Special Attack Wave
Conversation/zMission_Char01/Group00012=Zagara Dies /// Zagara Dies
Conversation/zMission_Char01/Group00013=Zagara Revives /// Zagara Revives
Conversation/zMission_Char01/Group00014=Player needs more banelings. /// Player needs more banelings.
Conversation/zMission_Char01/Group00015=Zagara is ahead /// Zagara is ahead
Conversation/zMission_Char01/Group00016=Player Cleans out Biggest Feral Base /// Player Cleans out Biggest Feral Base
Conversation/zMission_Char01/Group00017=Player 1/2 done with Secondary Objective /// Player 1/2 done with Secondary Objective
Conversation/zMission_Char01/Group00018=Player Completes Secondary Objective /// Player Completes Secondary Objective
Conversation/zMission_Char01/Group00019=Player defeats Zagara wave WHILE collecting Eggs /// Player defeats Zagara wave WHILE collecting Eggs
Conversation/zMission_Char01/Group00020=Collection updates /// Collection updates
Conversation/zMission_Char01/Group00021=Zagara /// Zagara
Conversation/zMission_Char01/Group00022=Kerrigan /// Kerrigan
Conversation/zMission_Char01/Group00023=Player Fights off Zagara wave WHILE collecting Eggs /// Player Fights off Zagara wave WHILE collecting Eggs
Conversation/zMission_Char01/Group00024=Secondary Objective Intro /// Secondary Objective Intro
Conversation/zMission_Char01/Group00025=NIEAKTUALNE /// OBSOLETE
Conversation/zMission_Char01/Group00026=Instabanelings /// Instabanelings
Conversation/zMission_Char01/Group00027=Feral Hatcheries /// Feral Hatcheries
Conversation/zMission_Char01/Group00028=Potrzeba więcej sił. /// Need more forces.
Conversation/zMission_Char01/Line00001=Zabić ją. /// Kill her.
Conversation/zMission_Char01/Line00002=Zrobiłam tylko to, co kazałaś, królowo. /// I only did as you instructed, my queen.
Conversation/zMission_Char01/Line00003=Czekajcie. /// Hold.
Conversation/zMission_Char01/Line00004=Kazałam ci się zbuntować? /// I told you to rebel against me?
Conversation/zMission_Char01/Line00005=Kazałaś wszystkim matkom szczepu, by były silne. Kazałaś walczyć, podbijać. Powiedziałaś, że zergami kieruje siła woli. /// You told all your broodmothers to be strong, to fight, to conquer. You said the zerg lead by force of will.
Conversation/zMission_Char01/Line00006=Twoja wola jest najsilniejsza i będę ci służyć. /// Your will is strongest and I shall serve you.
Conversation/zMission_Char01/Line00007=Chcę odbudować rój, a ty jesteś częścią mojego planu. /// I want to rebuild the Swarm, and [Serious]you[/Serious] are a part of that plan.
Conversation/zMission_Char01/Line00008=Jesteś... moją królową. /// You are my queen.
Conversation/zMission_Char01/Line00009=Zagara, matka szczepu, zebrała już jedną czwartą potrzebnych jaj. /// Broodmother Zagara is one quarter of the way to collecting the eggs she needs.
Conversation/zMission_Char01/Line00010= Abaturze, napełnij zbiornik rozrodczy. Przygotuj armię na powrót królowej! ///  Abathur, infuse the birthing pond. Prepare the army for the queen's return!
Conversation/zMission_Char01/Line00012=Wykluły się wszystkie tępiciele z gniazd. /// You have hatched all of the baneling nests.
Conversation/zMission_Char01/Line00013=Teraz zajmiemy się Zagarą. /// Now to take down Zagara.
Conversation/zMission_Char01/Line00014=Uwaga. Fala zerglingów zbliża się do naszego skupiska uli. /// Warning. A wave of zerglings is approaching our hive cluster.
Conversation/zMission_Char01/Line00015=Wyczuwam niewyklute jaja. Muszę je zdobyć, zanim zrobi to Zagara. /// I can sense the unhatched eggs. Now I just have to get them before Zagara.
Conversation/zMission_Char01/Line00017=Nie jesteś Królową Ostrzy. Jesteś słabym i żałosnym terraninem. /// You are not the Queen of Blades. You are a weak and pathetic terran creature.
Conversation/zMission_Char01/Line00018=Zagara... /// Zagara...
Conversation/zMission_Char01/Line00019=Opuść Char, dopóki możesz. Te jaja i rój są moje! /// Leave Char while you can. These eggs, and the Swarm, belong to me!
Conversation/zMission_Char01/Line00020=Dość. Kiedy ty kradłaś jaja, ja zbierałam siły. Pokażę ci, jak walczą zergi! /// Enough. While you've been stealing eggs, I've been making troops. Let me show you how zerg fight!
Conversation/zMission_Char01/Line00021=Uwaga. Wielka fala zerglingów zbliża się do naszego skupiska uli. /// Warning. A huge swarm of zerglings is approaching our hive cluster.
Conversation/zMission_Char01/Line00022=Powinniśmy bronić się wszystkimi dostępnymi siłami. /// We should defend with all available forces.
Conversation/zMission_Char01/Line00023=Ja nigdy nie zginę! Jestem rojem! /// I never really die. I am the Swarm!
Conversation/zMission_Char01/Line00024=Nie! To niemożliwe! /// No! This cannot be!
Conversation/zMission_Char01/Line00025=Zapłacisz mi za to! /// You will pay for this.
Conversation/zMission_Char01/Line00026=Jesteś potężna! Jak to możliwe, że kontrolujesz ich tak wiele? /// Such power! How can you control so many?
Conversation/zMission_Char01/Line00027=Choćbyś zabiła mnie tysiąc razy, i tak wrócę! /// Defeat me a thousand times, and I will always return!
Conversation/zMission_Char01/Line00028=Nie powstrzymasz mnie. /// You cannot stop me.
Conversation/zMission_Char01/Line00029=Jesteś za słaba, żeby mnie zabić! /// You are not powerful enough to kill me!
Conversation/zMission_Char01/Line00030=Jeszcze zdążę cię powstrzymać! /// There is still time for me to stop you!
Conversation/zMission_Char01/Line00031=Mam dosyć jaj. Abaturze, napełnij zbiornik rozrodczy. Doprowadź do wyklucia tępicieli. /// I have enough eggs. Abathur, infuse the birthing pond. Get those eggs to hatch for me.
Conversation/zMission_Char01/Line00032=Proste. Katalityczny roztwór, przyspiesza rozwój. Armia gotowa w jednej chwili. /// Simple. Catalytic solution, accelerated quickening. Army ready in a moment.
Conversation/zMission_Char01/Line00033=Teraz Zagara pożałuje, że ze mną zadarła. /// And now, Zagara will [Serious]regret crossing me.[/Serious]
Conversation/zMission_Char01/Line00034=Jestem w połowie, człowieku. Niedługo stworzę armię i cię zniszczymy! /// I'm halfway done, human. Soon I will spawn an army that will crush you.
Conversation/zMission_Char01/Line00035=Zagara, matka szczepu, zebrała już trzy czwarte potrzebnych jaj. /// Broodmother Zagara is three quarters of the way to collecting the eggs she needs.
Conversation/zMission_Char01/Line00036=Prawie skończyłam, Kerrigan. Niedługo zostanę sercem roju! /// I am almost done, Kerrigan. Then I will be the heart of the Swarm.
Conversation/zMission_Char01/Line00037=Mam już połowę. /// Halfway there.
Conversation/zMission_Char01/Line00038=Masz już połowę jaj potrzebnych do zniszczenia ula Zagary. /// You are halfway to amassing enough eggs to overwhelm Zagara's hive cluster.
Conversation/zMission_Char01/Line00039=Jeszcze tylko trochę... /// Just a little more...
Conversation/zMission_Char01/Line00040=Masz już prawie wszystkie jaja potrzebne do zniszczenia ula Zagary. /// You almost have enough eggs to overwhelm Zagara's hive cluster.
Conversation/zMission_Char01/Line00041=Niech ci się nie wydaje, że tępiciele cię uratują! /// Don't think finding those pathetic baneling nests will save you!
Conversation/zMission_Char01/Line00042=Zagara zdobyła więcej jaj niż ty. /// Zagara has recovered more eggs than you.
Conversation/zMission_Char01/Line00043=Teraz pozostaje tylko zebrać wszystkie uśpione jaja. /// Now it only remains to recover all the dormant eggs.
Conversation/zMission_Char01/Line00044=Jestem lepsza od ciebie. Szybsza i silniejsza! /// I am better than you. Faster and more powerful!
Conversation/zMission_Char01/Line00045=Jak udało ci się zebrać tyle zdziczałych stworzeń? Nie możesz być tak silna... /// How did you take down so many feral creatures? You shouldn't be that powerful...
Conversation/zMission_Char01/Line00046=Zabiłaś mnie sługami!? /// You kill me with minions!
Conversation/zMission_Char01/Line00047=Nie wysługuj się szczepem! /// At least fight me yourself!
Conversation/zMission_Char01/Line00048=Nawet nie wracasz bronić własnego ula? Jak silna jesteś? /// You don't even return to defend your own hive cluster? How strong are you?
Conversation/zMission_Char01/Line00049=To gniazdo jest inne. /// [Serious]Something[/Serious] is different about this nest.
Conversation/zMission_Char01/Line00051=Może okazać się bardzo przydatne. /// That could be very useful.
Conversation/zMission_Char01/Line00052=Zagara przekopała się z powrotem do swojej bazy, żeby odzyskać siły. Wróci. /// Zagara has deep tunneled back to her base to recover her strength. She will return.
Conversation/zMission_Char01/Line00053=Powinniśmy bronić naszego ula. Kręgowije doskonale nadają się do obrony. /// We should defend our hive cluster. Spine crawlers are excellent defenses for our hives.
Conversation/zMission_Char01/Line00054=Chwilowe niepowodzenie! /// A minor setback!
Conversation/zMission_Char01/Line00055=To mnie nie powstrzyma. /// This will not stop me!
Conversation/zMission_Char01/Line00056=Wróciłam... i teraz mi zapłacisz! /// I have returned, and now you shall pay.
Conversation/zMission_Char01/Line00057=Myślałaś, że się mnie pozbyłaś? /// Did you think you were rid of me?
Conversation/zMission_Char01/Line00058=Pozwolę ci żyć, Zagaro. /// I will let you live, Zagara.
Conversation/zMission_Char01/Line00059=Wyczuwam niewyklute jaja. Muszę je zdobyć, zanim zrobi to Zagara. /// I can sense the unhatched eggs. Now I just have to get them before Zagara.
Conversation/zMission_Char01/Line00060=Zagara... /// Zagara...
Conversation/zMission_Char01/Line00061=Mam już połowę. /// Halfway there.
Conversation/zMission_Char01/Line00062=Jeszcze tylko trochę... /// Just a little more...
Conversation/zMission_Char01/Line00063=Te jaja są inne od reszty. /// These eggs are [Serious]different [/Serious]than the others.
Conversation/zMission_Char01/Line00064=Dobrze. Przydadzą mi się dodatkowe siły. /// Good. I can use the additional forces.
Conversation/zMission_Char01/Line00065=Teraz zajmiemy się Zagarą. /// Now to take down Zagara.
Conversation/zMission_Char01/Line00066=Mam dosyć jaj. Abaturze, napełnij zbiornik rozrodczy. Doprowadź do wyklucia tępicieli. /// I have enough eggs. Abathur, infuse the birthing pond. Get those eggs to hatch for me.
Conversation/zMission_Char01/Line00067=Teraz odzyskam mój szczep. /// And now, [Serious]I will take back my brood.[/Serious]
Conversation/zMission_Char01/Line00068=Zabić ją. /// Kill her.
Conversation/zMission_Char01/Line00069=Czekajcie. /// Hold.
Conversation/zMission_Char01/Line00070=Kazałam ci się zbuntować? /// I told you to rebel against me?
Conversation/zMission_Char01/Line00071=Pozwolę ci żyć, Zagaro. /// I will let you live, Zagara.
Conversation/zMission_Char01/Line00072=Chcę odbudować rój, a ty jesteś częścią mojego planu. /// I want to rebuild the Swarm, and [Serious]you[/Serious] are a part of that plan.
Conversation/zMission_Char01/Line00087=Nie jesteś Królową Ostrzy. Nie masz tu czego szukać, zdrajczyni! /// You are not the Queen of Blades! You have no claim here, traitor!
Conversation/zMission_Char01/Line00088=Mam już połowę, fałszywa królowo. Niedługo stworzę armię i cię zniszczymy. /// I am halfway done, false queen. Soon I will spawn an army that will crush you.
Conversation/zMission_Char01/Line00089=Dosyć tego. Kiedy ty kradłaś jaja, ja zbierałam siły. Przypomnę ci, jak walczą zergi! /// Enough. While you've been stealing eggs, I've been making troops. Let me remind you how the zerg fight!
Conversation/zMission_Char01/Line00090=Twoja moc jest ogromna! /// You have such power!
Conversation/zMission_Char01/Line00091=Dopóki istnieje rój, jestem nieśmiertelna. /// I am eternal as long as the Swarm survives.
Conversation/zMission_Char01/Line00092=Jestem prawdziwą Królową Zergów. Szybszą i potężniejszą! /// I am the true Queen of the Zerg. Faster and more powerful!
Conversation/zMission_Char01/Line00093=Jak udało ci się zebrać tyle zdziczałych stworzeń? To ja jestem królową roju... /// How did you take down so many feral creatures? I am the Queen of the Swarm...
Conversation/zMission_Char01/Line00094=Nawet nie wracasz bronić własnego ula? Jesteś aż tak arogancka? /// You don't even return to defend your own hive cluster? How arrogant are you?
Conversation/zMission_Char01/Line00095=To się może bardzo przydać. /// That could be very useful.
Conversation/zMission_Char01/Line00096=Gdzie ta fałszywa Królowa Ostrzy? Brak ci sił, żeby ze mną walczyć? /// Where is this false Queen of Blades? Do you not have the strength to meet me in battle?
Conversation/zMission_Char01/Line00097=Tępiciele bardzo przydatne. Przekształcić z zerglingów. Każdy zergling może przekształcić się w tępiciela. /// Banelings very useful. [Angry 70]Morph[/Angry] from zerglings. Any zergling can [Angry 70]morph[/Angry] to baneling.
Conversation/zMission_Char01/Line00099=Niedaleko jest więcej jaj. /// There are more eggs nearby.
Conversation/zMission_Char01/Line00101=Wyczuwam więcej jaj. Tutaj. /// I sense more eggs, here.
Conversation/zMission_Char01/Line00102=Wrogie siły podatne na atak tępicieli. Korzystnie stworzyć więcej. /// Enemy forces vulnerable to Banelings. Beneficial to create more.
Conversation/zMission_Char01/Line00103=Tępiciele przekształcają się bezpośrednio z zerglingów. /// Banelings morphed directly from zerglings.
Conversation/zMission_Char01/Line00106=Niedaleko jest więcej jaj. /// There are more eggs nearby.
Conversation/zMission_Char01/Line00107=Wyczuwam więcej jaj. Tutaj. /// I sense more eggs, here.
Conversation/zMission_Char01/Line00109=Zagara ściągnęła na siebie uwagę zdziczałych tępicieli. Atakują ją! /// Zagara has drawn the attention of some feral banelings. [Surprise 70]They are attacking her![/Surprise]
Conversation/zMission_Char01/Line00111=Zniszczę je przy najbliższej okazji. /// I'll destroy them if I get a chance.
Conversation/zMission_Char01/Line00112=W pobliżu znaleźliśmy kilka zainfekowanych budowli terran. Chyba interesują się nimi zdziczałe zergi. /// We found several infested terran structures nearby. They seem to be of interest to the feral zerg.
Conversation/zMission_Char01/Line00113=Zniszczę je przy najbliższej okazji. /// I'll destroy them if I get a chance.
Conversation/zMission_Char01/Line00114=Powinniśmy je zniszczyć, jeśli to możliwe, aby wszystkie zergi wiedziały, że rządzisz rojem i całą Char. /// We should destroy them if possible, so that all zerg will know you rule the Swarm, and Char.
Conversation/zMission_Char01/Line00116=Zniszczyliśmy jedną z zainfekowanych budowli terran. Została jedna. /// We destroyed one of the infested terran structures. [Surprise 70]One more[/Surprise] remains.
Conversation/zMission_Char01/Line00117=Zniszczyliśmy ostatnią z zainfekowanych budowli terran. /// We destroyed the last infested terran structure.
Conversation/zMission_Char01/Line00118=Z tego gniazda mogą od razu wykluć się tępiciele. /// This baneling nest is ready to hatch immediately.
Conversation/zMission_Char01/Line00119=Wyczuwam niewyklute jaja. Muszę je zdobyć, zanim zrobi to Zagara. /// I can sense the unhatched eggs. Now I just have to get them before Zagara.
Conversation/zMission_Char01/Line00120=Niedaleko jest więcej jaj. /// There are more eggs nearby.
Conversation/zMission_Char01/Line00121=Wyczuwam więcej jaj. Tutaj. /// I sense more eggs, here.
Conversation/zMission_Char01/Line00122=Zagara... /// Zagara...
Conversation/zMission_Char01/Line00123=Powinniśmy przekształcić dodatkowe siły przed atakiem na Zagarę. /// We should morph additional forces before engaging Zagara.
Conversation/zMission_Char01/Line00124=[Serious]To gniazdo jest inne.[/Serious] /// [Serious]Something[/Serious] is different about this nest.
Conversation/zMission_Char01/Line00125=Teraz zajmiemy się Zagarą. /// Now to take down Zagara.
Conversation/zMission_Char02/Comment00001=Psi disrupter /// Psi disrupter
Conversation/zMission_Char02/Comment00002=Another psi-disrupter: /// Another psi-disrupter:
Conversation/zMission_Char02/Comment00003=1st cannon comes online /// 1st cannon comes online
Conversation/zMission_Char02/Comment00004=Gorgon destroyed /// Gorgon destroyed
Conversation/zMission_Char02/Comment00005=Another gorgon arrives /// Another gorgon arrives
Conversation/zMission_Char02/Comment00006=More gorgon destroyed /// More gorgon destroyed
Conversation/zMission_Char02/Comment00007=Rescue a queen /// Rescue a queen
Conversation/zMission_Char02/Comment00008=Planetary fortress /// Planetary fortress
Conversation/zMission_Char02/Comment00009=Warfield sends a wave /// Warfield sends a wave
Conversation/zMission_Char02/Comment00010=Scourge Nest hits a gorgon just as it launches /// Scourge Nest hits a gorgon just as it launches
Conversation/zMission_Char02/Comment00011=The final scourge nest shoots down a gorgon. /// The final scourge nest shoots down a gorgon.
Conversation/zMission_Char02/Comment00012=Kerrigan taunts /// Kerrigan taunts
Conversation/zMission_Char02/Comment00013=Warfield Taunts /// Warfield Taunts
Conversation/zMission_Char02/Comment00014=Hydras /// Hydras
Conversation/zMission_Char02/Comment00015=gorgon approaching Kerrigan's base /// gorgon approaching Kerrigan's base
Conversation/zMission_Char02/Comment00016=Warfield orders a strike team to a scourge nest: /// Warfield orders a strike team to a scourge nest:
Conversation/zMission_Char02/Comment00017=Strike Team reached a scourge nest, now attacking it: /// Strike Team reached a scourge nest, now attacking it:
Conversation/zMission_Char02/Comment00018=First gorgon enters map /// First gorgon enters map
Conversation/zMission_Char02/Comment00019=If player hasn't yet activated a scourge nest: /// If player hasn't yet activated a scourge nest:
Conversation/zMission_Char02/Comment00020=If player has already activated a scourge nest: /// If player has already activated a scourge nest:
Conversation/zMission_Char02/Comment00021=In the case of either scenario, end with this: /// In the case of either scenario, end with this:
Conversation/zMission_Char02/Comment00022=Player gets creep to 2 scourge nests within 10 secons of each other. /// Player gets creep to 2 scourge nests within 10 secons of each other.
Conversation/zMission_Char02/Comment00023=Terran air forces approaching and the player has not yet planted his Spore crawlers: /// Terran air forces approaching and the player has not yet planted his Spore crawlers:
Conversation/zMission_Char02/Comment00024=alt if there is only one SC: /// alt if there is only one SC:
Conversation/zMission_Char02/Comment00025=Warfield Drops defenses between you and your base /// Warfield Drops defenses between you and your base
Conversation/zMission_Char02/Comment00026=Raven ordered to destroy stuff /// Raven ordered to destroy stuff
Conversation/zMission_Char02/Comment00027=Firebat runs away /// Firebat runs away
Conversation/zMission_Char02/Comment00028=Orbital 1 down /// Orbital 1 down
Conversation/zMission_Char02/Comment00029=Orbital 2 down /// Orbital 2 down
Conversation/zMission_Char02/Comment00030=Orbital 3 down /// Orbital 3 down
Conversation/zMission_Char02/Comment00031=Biomateria zergów /// Zerg Biomass
Conversation/zMission_Char02/Comment00032=Zebrano /// Collected
Conversation/zMission_Char02/Comment00033=Przypomnienie /// Reminder
Conversation/zMission_Char02/Comment00034=Ostatnia gorgona /// Final Gorgon
Conversation/zMission_Char02/Comment00035=Gracz próbuje atakować gorgonę jednostkami dystansowymi. /// Player attempts to attack the gorgon with ranged units.
Conversation/zMission_Char02/Group00001=Char02 /// Char02
Conversation/zMission_Char02/Group00002=Mission /// Mission
Conversation/zMission_Char02/Group00003=VICTORY cinematic /// VICTORY cinematic
Conversation/zMission_Char02/Group00004=Do rozważenia /// To Consider
Conversation/zMission_Char02/Group00005=Zadanie dodatkowe /// Bonus Objective
Conversation/zMission_Char02/Group00006=Gorgons coming, going, getting destroyed /// Gorgons coming, going, getting destroyed
Conversation/zMission_Char02/Group00007=Mission Start /// Mission Start
Conversation/zMission_Char02/Group00008=Scourge Nests come Online /// Scourge Nests come Online
Conversation/zMission_Char02/Group00009=Context /// Context
Conversation/zMission_Char02/Group00010=Firebats burning corpses: /// Firebats burning corpses:
Conversation/zMission_Char02/Group00011=Creep Tumors and how they work: /// Creep Tumors and how they work:
Conversation/zMission_Char02/Group00012=Specific taunt about Warfield's role. All lines must play in sequence /// Specific taunt about Warfield's role. All lines must play in sequence
Conversation/zMission_Char02/Group00013=NIEAKTUALNE /// OBSOLETE
Conversation/zMission_Char02/Line00001=Królowo, generał Warfield wezwał gorgonę. Kieruje się w stronę naszego ula! /// My queen, General Warfield has called in a Gorgon. It is headed for our hive cluster!
Conversation/zMission_Char02/Line00002=Szybko, obejmij gniazda zmory biomasą, żebyśmy mogli postawić przy nich tumory! /// Hurry, spread creep to those Scourge Nests so we can place a creep tumor by them!
Conversation/zMission_Char02/Line00003=To obudzi gniazdo zmory. Oby jej atak wystarczył do zniszczenia gorgony. /// That will awaken the Scourge Nest. I hope it is enough to destroy the Gorgon.
Conversation/zMission_Char02/Line00004=Wystarczyło. /// It is.
Conversation/zMission_Char02/Line00005=Czuję to... spowalnia mnie. Spowalnia cały rój! /// I can feel it... slowing me. Slowing the entire Swarm!
Conversation/zMission_Char02/Line00006=Warfield używa zakłócacza psionicznego! /// Warfield is using a psi-disrupter!
Conversation/zMission_Char02/Line00007=Już niedługo. Zniszczę go. /// Not for long. I'm going to destroy it.
Conversation/zMission_Char02/Line00008=Kolejny zakłócacz psioniczny! /// Another psi-disrupter!
Conversation/zMission_Char02/Line00009=Zniszczcie go! /// Destroy it!
Conversation/zMission_Char02/Line00010=Powiliśmy tumor biomasy przy pierwszym gnieździe zmory! /// We have a creep tumor by the first Scourge Nest!
Conversation/zMission_Char02/Line00011=Obudź się! Zniszcz gorgonę! /// Awaken! Annihilate that Gorgon!
Conversation/zMission_Char02/Line00012=Gniazdo zmory umarło! /// The Scourge Nest died!
Conversation/zMission_Char02/Line00013=Świetnie! To początek końca, Warfield! /// [Happy 80]Perfect! [Serious]This[/Happy] is the beginning of the end, Warfield![/Serious]
Conversation/zMission_Char02/Line00014=Moja gorgona! /// My gorgon!
Conversation/zMission_Char02/Line00015=Mamy następne. Powij tumor biomasy przy kolejnym. Szybko! /// [Serious]We have more.[/Serious] Get a creep tumor by the next one. Move!
Conversation/zMission_Char02/Line00016=Wezwać kolejną gorgonę! /// Call in another Gorgon!
Conversation/zMission_Char02/Line00017=Wezwać kolejną gorgonę do walki! /// Get another Gorgon into the fight!
Conversation/zMission_Char02/Line00018=Sprowadzić gorgonę! Zniszczyć Kerrigan! /// Bring in a Gorgon! Crush Kerrigan!
Conversation/zMission_Char02/Line00019=Królowo, kolejna gorgona! /// Another Gorgon, my queen!
Conversation/zMission_Char02/Line00020=Królowo, Generał Warfield wezwał kolejną gorgonę! /// General Warfield called in another Gorgon, my queen!
Conversation/zMission_Char02/Line00021=Dwie załatwione. Będzie ich więcej. Powiększyć biomasę! /// Two down. There's more coming. Spread the creep!
Conversation/zMission_Char02/Line00022=Dorwaliśmy kolejną! Oddaj mi tę planetę, Warfield! /// [Surprise 70]Got another one! [/Surprise][Serious]Leave this planet to me, Warfield![/Serious]
Conversation/zMission_Char02/Line00023=Nigdy, Kerrigan! /// Never, Kerrigan!
Conversation/zMission_Char02/Line00024=Strąciliśmy kolejną gorgonę! Tak... Obudźcie więcej gniazd zmory! /// Another Gorgon down! Keep it up -- awaken more scourge nests!
Conversation/zMission_Char02/Line00025=Dziękuję, królowo. Pod zwłokami jest więcej zagrzebanych zergów z mojego szczepu. /// Thank you, my queen. There are more of my brood burrowed among the dead.
Conversation/zMission_Char02/Line00026=Przydasz mi się na linii frontu do tworzenia tumorów biomasy. /// I may want to keep you near the front lines to spawn creep tumors.
Conversation/zMission_Char02/Line00027=Rozumiem. Im więcej tumorów, tym szybciej rozchodzi się biomasa. /// I understand. The more tumors there are, the faster creep spreads.
Conversation/zMission_Char02/Line00028=Kolejna gorgona! Zapłacisz mi za to, Kerrigan! /// Another Gorgon! You'll pay for this, Kerrigan!
Conversation/zMission_Char02/Line00029=Wysłać oddział taktyczny Omega! Zniszczyć ich ul! /// Deploy tactical squad omega! Take down their hive cluster!
Conversation/zMission_Char02/Line00030=Zwiadowcy donoszą mi o budowlach terran w regionie. /// My scouts report several terran structures in the area.
Conversation/zMission_Char02/Line00031=Orbitalne centra dowodzenia. Zabijcie strażników, a padną przed potęgą roju. /// Orbital command centers. Kill the guards and they'll fall before the Swarm.
Conversation/zMission_Char02/Line00032=Wycofać się! Powtarzam, do wszystkich oddziałów Dominium w Wąwozie Kości, wycofać się! /// [Surprise 70]Pull back![/Surprise] Repeat, all Dominion forces in the trench, retreat! [Surprise 70]We've lost control![/Surprise]
Conversation/zMission_Char02/Line00033=To już ostatnia. Czuję, jak uciekają w popłochu. /// That's the last one. I can feel them running in fear.
Conversation/zMission_Char02/Line00034=Udało ci się, królowo! Teraz możemy wysłać rój na płaskowyż i wypędzić terran z Char! /// You did it, my queen! Now we can move the Swarm onto the plateau and drive the terrans from Char!
