Character/Name/ArtanisUI,Artanis /// Artanis=0
Conversation/Cutscene_SSF/Line00103,el Jerarca Artanis vio la oportunidad.  /// Hierarch Artanis saw an opportunity. =579
Conversation/Cutscene_SSF/Line00104,...templarios y templarios oscuros, recuperarían Aiur. /// ...templar and dark templar alike... would retake Aiur.=580
Conversation/Cutscene_SSF/Line00105,...con la esperanza de que el Jerarca no estuviera cometiendo un grave error. /// ...hoping against hope that the Hierarch was not making a terrible mistake.=581
Conversation/FacialAnim/Angry,Enojado /// Angry=582
Conversation/FacialAnim/Fear,Miedo /// Fear=583
Conversation/FacialAnim/Happy,Contento /// Happy=584
Conversation/FacialAnim/Sad,Triste /// Sad=585
Conversation/FacialAnim/Serious,Serio /// Serious=586
Conversation/FacialAnim/Surprise,Sorpresa /// Surprise=587
Conversation/Genericphrases/Group00001,Adjutant /// Adjutant=588
Conversation/Genericphrases/Group00002,Executor /// Executor=589
Conversation/Genericphrases/Group00003,Queen /// Queen=590
Conversation/Genericphrases/Line00001,Transmisión entrante.=591
Conversation/Genericphrases/Line00002,Se necesitan más depósitos de suministros.=592
Conversation/Genericphrases/Line00003,Gas vespeno insuficiente.=593
Conversation/Genericphrases/Line00004,Minerales insuficientes.=594
Conversation/Genericphrases/Line00005,Secuencia de aterrizaje interrumpida.=595
Conversation/Genericphrases/Line00006,Zona de aterrizaje no permitida.=596
Conversation/Genericphrases/Line00007,Energía insuficiente.=597
Conversation/Genericphrases/Line00008,Están atacando la base.=598
Conversation/Genericphrases/Line00009,Están atacando a tus fuerzas.=599
Conversation/Genericphrases/Line00010,Investigación finalizada.=600
Conversation/Genericphrases/Line00011,Anexo terminado.=601
Conversation/Genericphrases/Line00012,Lanzamiento nuclear detectado.=602
Conversation/Genericphrases/Line00013,Actualización completa=603
Conversation/Genericphrases/Line00014,Misil nuclear listo.=604
Conversation/Genericphrases/Line00015,Están atacando a nuestros aliados.=605
Conversation/Genericphrases/Line00016,Están atacando la base de nuestro aliado.=606
Conversation/Genericphrases/Line00017,Mejora del centro de mando terminada.=607
Conversation/Genericphrases/Line00018,Secuencia de reparación de Thor terminada.=608
Conversation/Genericphrases/Line00019,Unidades de minería auxiliares activadas.=609
Conversation/Genericphrases/Line00020,Operación de reciclaje terminada.=610
Conversation/Genericphrases/Line00021,Construcción interrumpida.=611
Conversation/Genericphrases/Line00022,Debes construir más pilones.=612
Conversation/Genericphrases/Line00023,Se necesita un géiser de gas vespeno.=613
Conversation/Genericphrases/Line00024,Necesitas más gas vespeno.=614
Conversation/Genericphrases/Line00025,No tienes minerales suficientes.=615
Conversation/Genericphrases/Line00026,Energía insuficiente.=616
Conversation/Genericphrases/Line00027,Están atacando la base.=617
Conversation/Genericphrases/Line00028,Tus guerreros han encontrado al enemigo.=618
Conversation/Genericphrases/Line00029,Investigación finalizada.=619
Conversation/Genericphrases/Line00030,Lanzamiento nuclear detectado.=620
Conversation/Genericphrases/Line00031,Actualización completa =621
Conversation/Genericphrases/Line00032,Debes colocarlo en un campo de energía.=622
Conversation/Genericphrases/Line00033,Debes colocarlo en un géiser de gas vespeno.=623
Conversation/Genericphrases/Line00034,Engendra más Amos Supremos=624
Conversation/Genericphrases/Line00035,Necesitamos más gas vespeno.=625
Conversation/Genericphrases/Line00036,Necesitamos más minerales.=626
Conversation/Genericphrases/Line00037,Energía insuficiente.=627
Conversation/Genericphrases/Line00038,Están atacando el colmenar.=628
Conversation/Genericphrases/Line00039,Están atacando a nuestras fuerzas.=629
Conversation/Genericphrases/Line00040,Evolución completa.=630
Conversation/Genericphrases/Line00041,Lanzamiento nuclear detectado.=631
Conversation/Genericphrases/Line00042,Debemos colocarlo sobre talo.=632
Conversation/Genericphrases/Line00043,Debemos colocarlo sobre un géiser de gas vespeno.=633
Conversation/Genericphrases/Line00044,Tus aliados están combatiendo.=634
Conversation/Genericphrases/Line00045,¡Las bases de tus aliados están bajo asedio!=635
Conversation/Genericphrases/Line00046,Nuestros aliados están en combate.=636
Conversation/Genericphrases/Line00047,La base de nuestros aliados está bajo amenaza.=637
Conversation/Genericphrases/Line00048,Transposición finalizada.=638
Conversation/Genericphrases/Line00049,Metamorfosis completa.=639
Conversation/Genericphrases/Line00050,¡Ha surgido una nueva reina!=640
Conversation/Genericphrases/Line00051,Géiser de gas vespeno agotado.=641
Conversation/Genericphrases/Line00052,Campo de minerales agotado.=642
Conversation/Genericphrases/Line00053,Géiser de gas vespeno agotado.=643
Conversation/Genericphrases/Line00054,Géiser de gas vespeno agotado.=644
Conversation/Genericphrases/Line00055,Campo de minerales agotado.=645
Conversation/Genericphrases/Line00056,Campo de minerales agotado.=646
Conversation/Genericphrases/Line00057,Mutación completa.=647
Conversation/Genericphrases/Line00058,Juego en pausa=648
Conversation/Genericphrases/Line00059,Juego reanudado=649
Conversation/Genericphrases/Line00060,Juego en pausa=650
Conversation/Genericphrases/Line00061,Juego reanudado=651
Conversation/Genericphrases/Line00062,Juego en pausa=652
Conversation/Genericphrases/Line00063,Juego reanudado=653
Conversation/Genericphrases/Line00064,Están atacando a nuestros VCE.=654
Conversation/Genericphrases/Line00065,¡Están atacando a tus sondas!=655
Conversation/Genericphrases/Line00066,Están atacando a nuestros obreros.=656
Conversation/Genericphrases/Line00067,Ubicación de construcción no permitida.=657
Conversation/Genericphrases/Line00068,Comando inaceptable.=658
Conversation/Genericphrases/Line00069,Ubicación de transposicionamiento inaceptable.=659
Conversation/Genericphrases/Line00185,Comando no permitido. Suministros al máximo.=660
Conversation/Genericphrases/Line00186,Comando inaceptable. Suministros al máximo. /// Unacceptable command. We are at maximum supply.=661
Conversation/Genericphrases/Line00187,Comando no permitido. Suministros al máximo. /// Unacceptable command. We are at maximum supply.=662
Conversation/Genericphrases/Line00188,Están atacando nuestro pilón. /// Our pylon is under attack.=663
Conversation/Genericphrases/Line00189,Están atacando un tumor de talo. /// A creep tumor is under attack.=664
Conversation/GhostFemale/Line00002,Habla. /// Go.=665
Conversation/GhostFemale/Line00003,Desembucha. /// Out with it.=666
Conversation/GhostFemale/Line00004,Canal asegurado. /// Channel secure.=667
Conversation/GhostFemale/Line00005,¿Tienes el informe de la situación? /// Got a sitrep?=668
Conversation/GhostFemale/Line00006,A tu disposición. /// Standing by.=669
Conversation/GhostFemale/Line00007,Repite esa última transmisión. /// Repeat last transmission.=670
Conversation/GhostFemale/Line00008,Afirmativo. /// Affirmative.=671
Conversation/GhostFemale/Line00009,Órdenes recibidas. /// Orders received.=672
Conversation/GhostFemale/Line00010,Entendido. /// Understood.=673
Conversation/GhostFemale/Line00011,Copiado. /// Copy that.=674
Conversation/GhostFemale/Line00012,En marcha. /// On the move.=675
Conversation/GhostFemale/Line00013,Agente en movimiento. /// Agent in motion.=676
Conversation/GhostFemale/Line00014,Ejecutando. /// Executing.=677
Conversation/GhostFemale/Line00015,Iniciando operaciones. /// Commencing operations.=678
Conversation/GhostFemale/Line00016,Entendido. /// Roger.=679
Conversation/GhostFemale/Line00017,Yo me encargo. /// On it.=680
Conversation/GhostFemale/Line00018,Bailemos la balada del Fantasma y la Muerte. /// Like a ghost in the fog.=681
Conversation/GhostFemale/Line00019,Todo listo. /// Lock and load.=682
Conversation/GhostFemale/Line00020,Este es mío. /// This one's mine.=683
Conversation/GhostFemale/Line00021,Atacando unidades hostiles. /// Engaging hostiles.=684
Conversation/GhostFemale/Line00022,Fuego a discreción. /// Weapons free.=685
Conversation/GhostFemale/Line00023,Enemigo a la vista. /// Got eyes on the enemy.=686
Conversation/GhostFemale/Line00024,Permiso para disparar. /// I'm taking the shot.=687
Conversation/GhostFemale/Line00025,Tengo el dedo en el gatillo. /// Pulling the trigger.=688
Conversation/GhostFemale/Line00026,Contacto hostil. /// Hostile contact.=689
Conversation/GhostFemale/Line00027,Parece que viste un fantasma. /// You look like you've seen a ghost.=690
Conversation/GhostFemale/Line00028,Si me viste, ya estás muerto. /// Now you see me, now you're dead.=691
Conversation/GhostFemale/Line00029,Prefiero considerarme "la opción nuclear". /// I like to think of myself as "the nuclear option".=692
Conversation/GhostFemale/Line00030,El equipo no tiene nada que ver. Yo soy mejor, y punto. /// I don't have better equipment. I'm just plain better.=693
Conversation/GhostFemale/Line00031,¿Te conozco? Mi memoria... no es muy buena. /// Have we met? My memory is... not the best.=694
Conversation/GhostFemale/Line00032,La guerra... la guerra cambia de vez en cuando. [https://www.youtube.com/watch?v=t7JeWJPM0Y4] /// War... war changes every so often.=695
Conversation/GhostFemale/Line00033,¿Que qué es lo que me gusta de las bombas nucleares? Un disparo: muchísimas muertes. /// Know what I like about nukes? One shot, so many kills.=696
Conversation/GhostFemale/Line00034,En ocasiones me olvidaba de las cosas. Ocasiones especialmente programadas por mi vaquero... /// I used to forget things on occasion. Occasions scheduled by my wrangler.=697
Conversation/GhostFemale/Line00035,Se dice "P - E - M". ¿A quién se le ocurre decirle "PEM"? /// It's "E. M. P.". What kind of idiot calls it an "EMP"?=698
Conversation/GhostFemale/Line00036,Los fantasmas tenemos una serie de diferentes habilidades. Los vamos a encontrar... y vamos a volar su base por los aires. [https://www.youtube.com/watch?v=ZwPHf8TOPe4] /// Ghosts have a very particular set of skills. We will find you, and we will nuke your base.=699
Conversation/GhostFemale/Line00037,¿Y tú crees que la universidad fue una época estresante? Las clases de la academia de fantasmas se daban junto a un silo de misiles nucleares. /// You think your college years were stressful? Ghost academy classes are held next to a nuclear missile silo.=700
Conversation/GhostFemale/Line00038,Si alguna vez tienes que rastrear a un fantasma camuflado, recuerda esto: siempre dejamos un brillo delator. También puedes traer herramientas de detección, claro. /// If you ever find yourself trying to track a cloaked ghost, just remember: we have a tell-tale shimmer. Or just bring some detection.=701
Conversation/GhostFemale/Line00039,¿Conoces el chiste del fantasma al que le borraron la memoria? Te lo contaría pero olvidé cómo termina. /// Ever hear the one about the mind-wiped ghost? I'd tell it to you, but I forgot how it ends.=702
Conversation/GhostFemale/Line00040,Dicen que Nova está en el campo de batalla. En mi opinión, las probabilidades de que eso sea cierto son del uno por ciento. /// Rumor has it Nova's on the battlefield. If you ask me, the chances of that being true are about one in a hundred.=703
Conversation/GhostFemale/Line00041,Debo decir que es todo un placer trabajar contigo. Generalmente no puedo dejar de oír los pensamientos de la gente, así que este silencio es un cambio de lo más bienvenido. /// I just wanna say, it's a pleasure working with you. Normally I can't stop hearing people's thoughts, so I'm enjoying the quiet.=704
Conversation/GhostFemale/Line00042,Energía insuficiente. /// Not enough energy.=705
Conversation/GhostFemale/Line00043,Ojos que no ven... /// Outta sight, outta mind.=706
Conversation/GhostFemale/Line00044,Objetivo en la mira. /// Target acquired.=707
Conversation/GhostFemale/Line00045,Apagando el sistema. /// Shutting it down.=708
Conversation/GhostFemale/Line00046,PEM activado. /// EMP deployed.=709
Conversation/GhostFemale/Line00047,Parece que los fantasmas sí pueden morir. /// So... you can kill a ghost.=710
Conversation/GhostFemale/Line00048,<Death exertion> /// <Death exertion>=711
Conversation/GhostFemale/Line00049,<Death exertion> /// <Death exertion>=712
Conversation/GhostFemale/Line00050,<Death exertion> /// <Death exertion>=713
Conversation/GhostFemale/Line00051,<Death exertion> /// <Death exertion>=714
Conversation/GhostFemale/Line00052,<Death exertion> /// <Death exertion>=715
Conversation/GhostFemale/Line00053,Que vengan. /// Setting up shop.=716
Conversation/GhostFemale/Line00054,Al campo de batalla. /// On the field.=717
Conversation/GhostFemale/Line00055,Esperando evacuación. /// Awaiting evac.=718
Conversation/GhostFemale/Line00056,Asimilación exitosa. /// Assimilation successful.=719
Conversation/GhostFemale/Line00057,Escucho órdenes. /// Your command?=720
Conversation/GhostFemale/Line00058,Por el Enjambre. /// For the Swarm.=721
Conversation/GhostFemale/Line00059,Servicio... completo. /// Service... Complete.=722
Conversation/GhostFemale/Line00060,Esperando instrucciones. /// Awaiting directive.=723
Conversation/GhostFemale/Line00061,Obedezco. /// I obey.=724
Conversation/ModUtilityVoice/Line00001,Nivel=725
Conversation/ModUtilityVoice/Line00002,Ronda=726
Conversation/ModUtilityVoice/Line00003,Oleada=727
Conversation/ModUtilityVoice/Line00004,Etapa=728
Conversation/ModUtilityVoice/Line00005,Vuelta=729
Conversation/ModUtilityVoice/Line00006,Siguiente=730
Conversation/ModUtilityVoice/Line00007,Atrás=731
Conversation/ModUtilityVoice/Line00008,Final=732
Conversation/ModUtilityVoice/Line00009,Bonificación=733
Conversation/ModUtilityVoice/Line00010,Listo=734
Conversation/ModUtilityVoice/Line00011,Ya=735
Conversation/ModUtilityVoice/Line00012,Iniciar=736
Conversation/ModUtilityVoice/Line00013,Detener=737
Conversation/ModUtilityVoice/Line00014,Empezar=738
Conversation/ModUtilityVoice/Line00015,Cero=739
Conversation/ModUtilityVoice/Line00016,Uno=740
Conversation/ModUtilityVoice/Line00017,Dos=741
Conversation/ModUtilityVoice/Line00018,Tres=742
Conversation/ModUtilityVoice/Line00019,Cuatro=743
Conversation/ModUtilityVoice/Line00020,Cinco=744
Conversation/ModUtilityVoice/Line00021,Seis=745
Conversation/ModUtilityVoice/Line00022,Siete=746
Conversation/ModUtilityVoice/Line00023,Ocho=747
Conversation/ModUtilityVoice/Line00024,Nueve=748
Conversation/ModUtilityVoice/Line00025,Diez=749
Conversation/ModUtilityVoice/Line00026,Once=750
Conversation/ModUtilityVoice/Line00027,Doce=751
Conversation/ModUtilityVoice/Line00028,Trece=752
Conversation/ModUtilityVoice/Line00029,Catorce=753
Conversation/ModUtilityVoice/Line00030,Quince=754
Conversation/ModUtilityVoice/Line00031,Dieciséis=755
Conversation/ModUtilityVoice/Line00032,Diecisiete=756
Conversation/ModUtilityVoice/Line00033,Dieciocho=757
Conversation/ModUtilityVoice/Line00034,Diecinueve=758
Conversation/ModUtilityVoice/Line00035,Veinte=759
Conversation/ModUtilityVoice/Line00036,Treinta=760
Conversation/ModUtilityVoice/Line00037,Cuarenta=761
Conversation/ModUtilityVoice/Line00038,Cincuenta=762
Conversation/ModUtilityVoice/Line00039,Sesenta=763
Conversation/ModUtilityVoice/Line00040,Setenta=764
Conversation/ModUtilityVoice/Line00041,Ochenta=765
Conversation/ModUtilityVoice/Line00042,Noventa=766
Conversation/ModUtilityVoice/Line00043,Cien=767
Conversation/ModUtilityVoice/Line00044,Mil=768
Conversation/ModUtilityVoice/Line00045,Millón=769
Conversation/ModUtilityVoice/Line00046,A=770
Conversation/ModUtilityVoice/Line00047,A=771
Conversation/ModUtilityVoice/Line00048,C=772
Conversation/ModUtilityVoice/Line00049,F=773
Conversation/ModUtilityVoice/Line00050,E=774
Conversation/ModUtilityVoice/Line00051,F=775
Conversation/ModUtilityVoice/Line00052,G=776
Conversation/ModUtilityVoice/Line00053,H=777
Conversation/ModUtilityVoice/Line00054,I=778
Conversation/ModUtilityVoice/Line00055,J=779
Conversation/ModUtilityVoice/Line00056,K=780
Conversation/ModUtilityVoice/Line00057,L=781
Conversation/ModUtilityVoice/Line00058,D=782
Conversation/ModUtilityVoice/Line00059,R=783
Conversation/ModUtilityVoice/Line00060,O=784
Conversation/ModUtilityVoice/Line00061,P=785
Conversation/ModUtilityVoice/Line00062,S=786
Conversation/ModUtilityVoice/Line00063,R=787
Conversation/ModUtilityVoice/Line00064,P=788
Conversation/ModUtilityVoice/Line00065,V=789
Conversation/ModUtilityVoice/Line00066,U=790
Conversation/ModUtilityVoice/Line00067,U=791
Conversation/ModUtilityVoice/Line00068,W=792
Conversation/ModUtilityVoice/Line00069,X=793
Conversation/ModUtilityVoice/Line00070,C=794
Conversation/ModUtilityVoice/Line00071,Z=795
Conversation/ModUtilityVoice/Line00072,Éxito=796
Conversation/ModUtilityVoice/Line00073,Fallido=797
Conversation/ModUtilityVoice/Line00074,Completado=798
Conversation/ModUtilityVoice/Line00075,Terminado=799
Conversation/ModUtilityVoice/Line00076,Restablecer=800
Conversation/ModUtilityVoice/Line00077,Need help.=801
Conversation/ModUtilityVoice/Line00078,Victoria=802
Conversation/ModUtilityVoice/Line00079,Pierdes=803
Conversation/ModUtilityVoice/Line00080,Mueres=804
Conversation/ModUtilityVoice/Line00081,¡Victoria!=805
Conversation/ModUtilityVoice/Line00082,¡Derrota!=806
Conversation/ModUtilityVoice/Line00083,¡Pasó!=807
Conversation/ModUtilityVoice/Line00084,¡Fallaste!=808
Conversation/ModUtilityVoice/Line00085,Jefe=809
Conversation/ModUtilityVoice/Line00086,¡Meta!=810
Conversation/ModUtilityVoice/Line00087,Fuera de los límites=811
Conversation/ModUtilityVoice/Line00088,Descalificado=812
Conversation/ModUtilityVoice/Line00089,Nuevo récord=813
Conversation/ModUtilityVoice/Line00090,Héroe=814
Conversation/ModUtilityVoice/Line00091,Objeto=815
Conversation/ModUtilityVoice/Line00092,Potenciador=816
Conversation/ModUtilityVoice/Line00093,Secreto=817
Conversation/ModUtilityVoice/Line00094,Recompensa=818
Conversation/ModUtilityVoice/Line00095,Jugador=819
Conversation/ModUtilityVoice/Line00096,Objetivo=820
Conversation/ModUtilityVoice/Line00097,Nuevo=821
Conversation/ModUtilityVoice/Line00098,Recibido=822
Conversation/ModUtilityVoice/Line00099,Descubierto=823
Conversation/ModUtilityVoice/Line00100,Encontrados=824
Conversation/ModUtilityVoice/Line00101,Revivido=825
Conversation/ModUtilityVoice/Line00102,Norte=826
Conversation/ModUtilityVoice/Line00103,Sur=827
Conversation/ModUtilityVoice/Line00104,Este=828
Conversation/ModUtilityVoice/Line00105,Oeste=829
Conversation/ModUtilityVoice/Line00106,Seleccionar=830
Conversation/ModUtilityVoice/Line00107,Elegido=831
Conversation/ModUtilityVoice/Line00108,Primer lugar=832
Conversation/ModUtilityVoice/Line00109,Segundo lugar=833
Conversation/ModUtilityVoice/Line00110,Tercer lugar=834
Conversation/ModUtilityVoice/Line00111,¡A salvo!=835
Conversation/ModUtilityVoice/Line00112,¡Buen trabajo!=836
Conversation/ModUtilityVoice/Line00113,¡Qué bien!=837
Conversation/ModUtilityVoice/Line00114,Advertencia=838
Conversation/ModUtilityVoice/Line00115,Peligro=839
Conversation/ModUtilityVoice/Line00116,Precaución=840
Conversation/ModUtilityVoice/Line00117,GG=841
Conversation/ModUtilityVoice/Line00118,Bloqueado=842
Conversation/ModUtilityVoice/Line00119,Desbloqueado=843
Conversation/ModUtilityVoice/Line00120,Activado=844
Conversation/ModUtilityVoice/Line00121,Desactivado=845
Conversation/ModUtilityVoice/Line00122,Fase=846
Conversation/ModUtilityVoice/Line00123,Área=847
Conversation/ModUtilityVoice/Line00124,¡Fantástico!=848
Conversation/ModUtilityVoice/Line00125,¡Extremo!=849
Conversation/ModUtilityVoice/Line00126,¡Épico!=850
Conversation/ModUtilityVoice/Line00127,Ey=851
Conversation/ModUtilityVoice/Line00128,Hola=852
Conversation/ModUtilityVoice/Line00129,Bienvenido=853
Conversation/ModUtilityVoice/Line00130,Adiós=854
Conversation/ModUtilityVoice/Line00131,Rojo=855
Conversation/ModUtilityVoice/Line00132,Azul=856
Conversation/ModUtilityVoice/Line00133,Verde=857
Conversation/ModUtilityVoice/Line00134,Amarillo=858
Conversation/ModUtilityVoice/Line00135,Naranja=859
Conversation/ModUtilityVoice/Line00136,Negro=860
Conversation/ModUtilityVoice/Line00137,Blanco=861
Conversation/ModUtilityVoice/Line00138,Gris=862
Conversation/ModUtilityVoice/Line00139,Marrón=863
Conversation/ModUtilityVoice/Line00140,Azul claro=864
Conversation/ModUtilityVoice/Line00141,Rosa=865
Conversation/ModUtilityVoice/Line00142,Ligera=866
Conversation/ModUtilityVoice/Line00143,Oscuro=867
Conversation/ModUtilityVoice/Line00144,Primera sangre=868
Conversation/ModUtilityVoice/Line00145,Doble muerte=869
Conversation/ModUtilityVoice/Line00146,Triple muerte=870
Conversation/ModUtilityVoice/Line00147,Muerte instantánea=871
Conversation/ModUtilityVoice/Line00148,¡En la cabeza!=872
Conversation/ModUtilityVoice/Line00149,¡Sometido!=873
Conversation/ModUtilityVoice/Line00150,¡Matador!=874
Conversation/ModUtilityVoice/Line00151,¡Magistral!=875
Conversation/ModUtilityVoice/Line00152,¡Masacrado!=876
Conversation/ModUtilityVoice/Line00153,¡Humillación!=877
Conversation/ModUtilityVoice/Line00154,¡Aniquilación!=878
Conversation/ModUtilityVoice/Line00155,¡Fatalidad!=879
Conversation/ModUtilityVoice/Line00156,Acábalo=880
Conversation/ModUtilityVoice/Line00157,Izquierda=881
Conversation/ModUtilityVoice/Line00158,Derecha=882
Conversation/ModUtilityVoice/Line00159,Arriba=883
Conversation/ModUtilityVoice/Line00160,Abajo=884
Conversation/ModUtilityVoice/Line00161,Muerto=885
Conversation/ModUtilityVoice/Line00162,Abandonar=886
Conversation/Name/Cutscene_SSF,Cutscene_SSF=887
Conversation/Name/GhostFemale,Fantasma=888
Conversation/Name/pCinematic_Protoss00,Cinematic_Protoss00=889
Conversation/Tutorial/Line00001,En StarCraft II, ves la batalla desde arriba como el Comandante de un ejército. Usa el mouse para controlar la vista del campo de batalla y emitir órdenes a tus unidades. /// In StarCraft II you view the battle from above as the commander of an army. You use your mouse to control your view of the battlefield and give instructions to the units under your command.=890
Conversation/Tutorial/Line00002,En la parte inferior izquierda de la pantalla, un minimapa te permite ver lo que ocurre en todo el campo de batalla. /// In the lower left of your screen is a minimap that allows you to see what is happening all over the battlefield.=891
Conversation/Tutorial/Line00003,En la parte inferior derecha de la pantalla está la tarjeta de comando, con la que das órdenes a las unidades seleccionadas. /// In the lower right of your screen you can find the command card. The command card is used to issue orders to selected units.=892
Conversation/Tutorial/Line00004,En la parte inferior central de la pantalla hay un panel que te dará información de las unidades y estructuras cuando las selecciones. /// The lower middle of your screen is the unit information panel. This shows information about the units or structures you have selected.=893
Conversation/Tutorial/Line00005,Arriba de la tarjeta de comando está el botón "Sugerencia", que aparece cuando hay información nueva para tu utilidad. Simplemente haz clic en el botón para leer la sugerencia.=894
Conversation/Tutorial/Line00006,Para cambiar la vista, mueve el cursor del mouse hacia el borde de la pantalla. Cuando el mouse toque el borde, la vista se desplazará en esa dirección. /// To change your view, move the mouse cursor to the edge of the screen. When your mouse touches the edge of the screen, your view will slide in that direction.=895
Conversation/Tutorial/Line00007,El minimapa también se usa para ir a cualquier parte del campo de batalla. Haz clic izquierdo en el minimapa para saltar a una nueva ubicación. /// You can also use the minimap to shift your view to any part of the battlefield. Simply left-click on the minimap to jump to a new location.=896
Conversation/Tutorial/Line00008,Una vez seleccionada la unidad, haz clic derecho en el terreno para ordenarle que se mueva. /// Now that you have a unit selected, right-click on the ground to order the unit to move somewhere.=897
Conversation/Tutorial/Line00009,Para mover a una unidad, primero selecciónala. Haz clic izquierdo en la unidad para seleccionarla. /// To move a unit you must first select it. Use your mouse and left-click on the unit to select it.=898
Conversation/Tutorial/Line00010,Bien hecho, Comandante. /// Well done commander.=899
Conversation/Tutorial/Line00011,Para atacar, selecciona a tus unidades y haz clic derecho en el enemigo. /// To attack an enemy, select your units and right-click on the enemy.=900
Conversation/Tutorial/Line00012,Durante el ataque, señala con el mouse al enemigo para ver la barra que representa su vida. La unidad es destruida cuando sus puntos de vida llegan a cero. Señala a tus propias unidades para ver sus barras de vida. /// During the attack, you can mouse over the enemy to see a bar representing their life. A unit is destroyed when its hit-points reach zero. You can also mouse over your own units to keep an eye on their life bars.=901
Conversation/Tutorial/Line00013,También puedes usar el comando Atacar y mover para ordenar a tus unidades que se muevan hacia una ubicación y ataquen a cualquier fuerza enemiga que encuentren en el camino.=902
Conversation/Tutorial/Line00014,Para atacar-moverse, haz un clic izquierdo en el botón "Atacar" de la tarjeta de comando, con las unidades seleccionadas, y luego otro en el terreno adonde irán tus unidades. /// To make an attack-move command, left-click on the attack button from the command card while your units are selected, and then left-click on the ground where you want your units to go.=903
Conversation/Tutorial/Line00015,Para crear una estructura, selecciona un VCE con el clic izquierdo. /// To create a new terran structure, first select an SCV by left-clicking.=904
Conversation/Tutorial/Line00016,Ahora haz clic izquierdo en el botón "Construir estructura" en la parte inferior derecha de la pantalla. /// Now left-click the "Build Structure" button in the lower right of your screen.=905
Conversation/Tutorial/Line00017,Haz un clic izquierdo en la estructura que quieras construir y luego otro en el terreno para ordenar al VCE que construya la nueva estructura allí. El VCE irá al lugar indicado y comenzará la construcción. /// Left-click on the structure you want to build and then left-click anywhere on the ground to order the SCV to place the new structure. The SCV will move to your chosen location, and build the structure there.=906
Conversation/Tutorial/Line00018,El Centro de mando no se puede construir muy cerca de los minerales. Al colocarlo, procura que la superposición esté totalmente verde antes de hacer clic izquierdo. /// The Command Center cannot be constructed too close to minerals. When placing the Command Center look for the overlay to be completely green before left-clicking.=907
Conversation/Tutorial/Line00019,Los VCE son tu medio principal de recolección de recursos. Selecciona un VCE y haz clic derecho en un campo de minerales para comenzar a recolectar. /// SCVs are your primary means of collecting resources. While your SCV is selected, right-click a mineral field to begin collecting resources.=908
Conversation/Tutorial/Line00020,Tu VCE comenzará a recolectar minerales y a almacenarlos en el Centro de mando más cercano. /// Your SCV will start harvesting minerals and dropping them off at the closest Command Center.=909
Conversation/Tutorial/Line00021,Entrena más VCE en el Centro de mando para recolectar minerales más rápidamente. /// You can train more SCVs from the Command Center to gather minerals faster.=910
Conversation/Tutorial/Line00022,Tu VCE seguirá recolectando hasta que le ordenes que haga otra cosa. /// Your SCV will continue harvesting until you order it to do something else.=911
Conversation/Tutorial/Line00023,Bien, Comandante. Recolectar minerales es la base de toda estrategia terran. /// Well done commander. Harvesting minerals is central to any terran strategy.=912
Conversation/Tutorial/Line00024,Para crear unidades debes seleccionar una estructura que las entrene. Selecciona el Cuartel para ver las unidades allí disponibles. Estas aparecerán en la tarjeta de comando en la esquina inferior derecha de la pantalla. /// To create new units, you must first select a structure that trains units. Select a Barracks to see what units you can train from it. Those units will appear in the command card in the lower right of your screen.=913
Conversation/Tutorial/Line00025,Haz clic izquierdo en el Marine de la tarjeta de comando para que el Cuartel comience a entrenar esa unidad. Cuando la unidad esté lista, aparecerá a un lado del Cuartel. /// Left-click on the "Marine" button in the command card to order the Barracks to begin training that unit. Once the unit is complete, it will appear next to the Barracks.=914
Conversation/Tutorial/Line00026,Pon en espera la construcción de más unidades. Vuelve a hacer clic en el botón para agregar a otro Marine a la cola. /// You can queue multiple units at the same time. Simply click on the button again to add another Marine to the queue.=915
Conversation/Tutorial/Line00027,Antes de entrenar una unidad, debes tener los suministros para mantenerla. Si no tienes suficientes suministros disponibles, no podrás entrenar a esa unidad. /// Before you can train a unit, you must have the supplies to support that unit. If you do not have enough available supply, you will not be able to train that unit.=916
Conversation/Tutorial/Line00028,Para aumentar el máximo de unidades disponibles, debes construir Depósitos de suministros. Selecciona un VCE y haz un clic izquierdo en el botón "Construir estructura", otro en "Construir Depósito de suministros" y otro en un lugar para colocarlo. /// To increase the maximum number of units available, you must build supply depots. To do this, select an SCV and left-click the Build Structures button. Left-click on Build Supply Depot and left-click anywhere to place the Supply Depot.=917
Conversation/Tutorial/Line00029,La cantidad máxima de suministros aparece en la esquina superior derecha de la pantalla, junto con la cantidad de suministros en uso. /// Your current supply maximum is displayed in the upper right corner of the screen along with how much supply you are currently using.=918
Conversation/Tutorial/Line00030,Los zerg son una raza alienígena brutal compuesta por una horda de especies diferentes que mutan todas de un solo tipo de criatura llamada Larva. /// The Zerg are a savage alien race made up of a host of different species that all mutate from a single creature type called a Larva.=919
Conversation/Tutorial/Line00031,Crean una capa de biomateria llamada talo debajo de todas sus bases y usan criaturas llamadas Amos Supremos para proveer de suministros a sus ejércitos. /// The Zerg create a thick layer of bio-matter called creep under all of their bases and use creatures called Overlords to provide supply for their armies.=920
