Character/Name/ArtanisUI,阿塔尼斯 /// Artanis=0
VoiceOver/AbathurA/CommandCenterUpgraded00,指挥中心，已升级。 /// Command center, upgraded.=1310
VoiceOver/AbathurA/ConstructInterrupt00,建造已打断。 /// Construction interrupted.=1311
VoiceOver/AbathurA/Countdown00,五……四……三……二……一 /// Five... Four... Three... Two... One...=1312
VoiceOver/AbathurA/EvolutionComplete00,进化完成。 /// Evolution complete.=1313
VoiceOver/AbathurA/EvolutionComplete01,虫群已进化。 /// Swarm has evolved.=1314
VoiceOver/AbathurA/ForcesUnderAttack00,虫群部队遭到攻击。 /// Swarm forces under attack.=1315
VoiceOver/AbathurA/ForcesUnderAttackProtoss00,星灵部队，正在交战。 /// Protoss forces, now in combat.=1316
VoiceOver/AbathurA/ForcesUnderAttackTerran00,与敌军交火。 /// Hostile forces engaged.=1317
VoiceOver/AbathurA/GamePaused00,游戏暂停。 /// Game paused.=1318
VoiceOver/AbathurA/GameResumed00,游戏恢复。 /// Game resumed.=1319
VoiceOver/AbathurA/GeyserExhausted00,瓦斯气泉枯竭。 /// Vespene geyser exhasusted.=1320
VoiceOver/AbathurA/GeyserExhausted01,瓦斯气泉耗尽。 /// Vespene geyser, depleted.=1321
VoiceOver/AbathurA/LandingInterrupt00,着陆区，被阻挡。 /// Landing zone, obstructed.=1322
VoiceOver/AbathurA/MULEDeployed00,部署矿骡。 /// Deploying MULE.=1323
VoiceOver/AbathurA/MaxSupply00,不。这不可能。已达补给上限。 /// No. Not possible. Supply limit reached.=1324
VoiceOver/AbathurA/MaxSupply01,虫群已达到最大补给数。 /// Swarm at maximum supply.=1325
VoiceOver/AbathurA/MetamorphosisComplete00,蜕变完成。 /// Metamorphosis complete.=1326
VoiceOver/AbathurA/MetamorphosisComplete01,完成蜕变。 /// Completing metamorphosis.=1327
VoiceOver/AbathurA/MineralsDepleted00,矿脉枯竭。 /// Mineral field exhausted.=1328
VoiceOver/AbathurA/MineralsDepleted01,矿脉耗尽。 /// Mineral field, depleted.=1329
VoiceOver/AbathurA/MineralsDepleted02,晶体矿簇已消耗。 /// Mineral cluster, expended.=1330
VoiceOver/AbathurA/MutationComplete00,变异完成。 /// Mutation complete.=1331
VoiceOver/AbathurA/MutationComplete01,序列，已重组。虫群，已变异。 /// Sequences, spun. Swarm, mutated.=1332
VoiceOver/AbathurA/NeedCreep00,必须在菌毯上变异。 /// Must be morphed on creep.=1333
VoiceOver/AbathurA/NeedGeyser00,建筑必须放置在瓦斯气泉上。 /// Structure must be placed on vespene geyser.=1334
VoiceOver/AbathurA/NeedGeyser01,需要瓦斯气泉才能变异。 /// Vespene geyser, required for morph.=1335
VoiceOver/AbathurA/NeedGeyserProtoss00,必须在瓦斯气泉上折跃。 /// Must be warped on vespene geyser.=1336
VoiceOver/AbathurA/NeedGeyserProtoss01,需要瓦斯气泉才能折跃。 /// Vespene geyser required for warp.=1337
VoiceOver/AbathurA/NeedGeyserTerran00,精炼厂需要瓦斯气泉。 /// Refinery requires vespene geyser.=1338
VoiceOver/AbathurA/NeedGeyserTerran01,需要瓦斯气泉。 /// Vespene geyser required.=1339
VoiceOver/AbathurA/NeedMoreFood00,必须孵化更多王虫。 /// Must spawn more Overlords.=1340
VoiceOver/AbathurA/NeedMoreFood01,王虫不足。 /// Insufficient Overlords.=1341
VoiceOver/AbathurA/NeedMoreFood02,需要更多王虫。 /// More Overlords required.=1342
VoiceOver/AbathurA/NeedMoreFoodProtoss00,必须建造更多水晶塔。 /// Must construct additional pylons.=1343
VoiceOver/AbathurA/NeedMoreFoodProtoss01,需要更多水晶塔。 /// Additional pylons required.=1344
VoiceOver/AbathurA/NeedMoreFoodProtoss02,补给量不合适。水晶塔，不足。 /// Inadequate supply. Pylons, inefficient.=1345
VoiceOver/AbathurA/NeedMoreFoodTerran00,需要更多补给站。 /// Additional supply depots required.=1346
VoiceOver/AbathurA/NeedMoreFoodTerran01,必须建造更多补给站。 /// Must build more supply depots.=1347
VoiceOver/AbathurA/NeedMoreFoodTerran02,补给站，不足。王虫，更优。 /// Supply depots, insufficient. Overlords, superior.=1348
VoiceOver/AbathurA/NeedMoreGas00,需要额外高能瓦斯。 /// Additional vespene gas required.=1349
VoiceOver/AbathurA/NeedMoreGas01,高能瓦斯不足。 /// Insufficient vespene gas.=1350
VoiceOver/AbathurA/NeedMoreGas02,需要更多高能瓦斯。 /// Need more vespene gas.=1351
VoiceOver/AbathurA/NeedMoreMinerals00,晶体矿数量不足。 /// Mineral quantity insufficient.=1352
VoiceOver/AbathurA/NeedMoreMinerals01,需要更多的晶体矿。 /// More minerals required.=1353
VoiceOver/AbathurA/NeedMoreMinerals02,晶体矿不足。 /// Not enough minerals.=1354
VoiceOver/AbathurA/NotEnoughEnergy00,能量不足。 /// Insufficient energy.=1355
VoiceOver/AbathurA/NotEnoughEnergy01,能量不够。 /// Not enough energy.=1356
VoiceOver/AbathurA/NukeReady00,核打击，已就绪。 /// Nuclear ordnance, primed.=1357
VoiceOver/AbathurA/NukeReady01,核弹头已准备发射。 /// Nuclear warhead prepared for launch.=1358
VoiceOver/AbathurA/PlaceInPowerField00,必须放置在能量场中。 /// Must be placed in power field.=1359
VoiceOver/AbathurA/PylonUnderAttack00,水晶塔，遭到攻击。 /// Pylon, under assault.=1360
VoiceOver/AbathurA/QueenDeployed00,虫后孵化成功。 /// Queen birth successful.=1361
VoiceOver/AbathurA/QueenDeployed01,新生虫后已就绪。 /// Newly birthed queen, ready.=1362
VoiceOver/AbathurA/ResearchComplete00,研究完毕。 /// Research, completed.=1363
VoiceOver/AbathurA/ResearchComplete01,新科技已研究。 /// New technology, researched.=1364
VoiceOver/AbathurA/SalvageComplete00,残骸已回收。 /// Wreckage salvaged.=1365
VoiceOver/AbathurA/ThorRepaired00,雷神，已修复。 /// Thor, repaired.=1366
VoiceOver/AbathurA/Transmission00,传输信息已接收。 /// Transmission received.=1367
VoiceOver/AbathurA/TumorUnderAttack00,菌毯肿瘤遭到攻击。 /// Creep Tumor under attack.=1368
VoiceOver/AbathurA/UpgradeComplete00,升级完成。 /// Upgrade, completed.=1369
VoiceOver/AbathurA/UpgradeComplete01,部队已升级。 /// Army, upgraded.=1370
VoiceOver/AbathurA/WarpInComplete00,折跃完成。 /// Warp in, complete.=1371
VoiceOver/AbathurA/WarpInComplete01,折跃成功。 /// Warp successful.=1372
VoiceOver/AbathurA/WorkersUnderAttack00,工蜂遭到攻击。 /// Drones under attack.=1373
VoiceOver/AbathurA/WorkersUnderAttack01,敌人，正在攻击工蜂。 /// Enemy, assaulting drones.=1374
VoiceOver/AbathurA/WorkersUnderAttackProtoss00,探机遭到攻击。 /// Probes under attack.=1375
VoiceOver/AbathurA/WorkersUnderAttackProtoss01,敌人正在攻击探机。 /// Enemy assaulting probes.=1376
VoiceOver/AbathurA/WorkersUnderAttackTerran00,SCV遭到攻击。 /// SCVs under attack.=1377
VoiceOver/AbathurA/WorkersUnderAttackTerran01,敌人正在攻击SCV。 /// Enemy attacking SCVs.=1378
VoiceOver/AlarakA/AddOnComplete00,你的附属建筑小玩意完成了。 /// Your little add-on is complete.=1379
VoiceOver/AlarakA/AddOnComplete01,附属建筑完成了，不过没什么大用。 /// Add-on complete, for what little good it does.=1380
VoiceOver/AlarakA/AllyBaseUnderAttack00,盟友的基地遭到攻击。 /// Your ally's base is besieged.=1381
VoiceOver/AlarakA/AllyUnderAttack00,你的盟友已经独自与敌人交火了。 /// Your allies have entered combat without you.=1382
VoiceOver/AlarakA/BadLZ00,你的工程师们蠢得居然想在那里着陆？ /// Your engineers are too inept to land there.=1383
VoiceOver/AlarakA/BaseUnderAttack00,你的枢纽遭到攻击。 /// Your base is under assault.=1384
VoiceOver/AlarakA/BuildError00,你确定你可以折跃到那儿？ /// Did you think you could warp there?=1385
VoiceOver/AlarakA/BuildErrorTerran00,不可能在那儿建造的。 /// It is impossible to build there.=1386
VoiceOver/AlarakA/BuildErrorZerg00,不可能的。 /// Impossible.=1387
VoiceOver/AlarakA/CalldownLaunch00,啊，大名鼎鼎的人类聚变打击。好古老的武器。 /// Ah, the famed terran nuke. Such a quaint weapon.=1388
VoiceOver/AlarakA/CalldownLaunch01,人类厚颜无耻地发射了一枚聚变打击。 /// The terrans have brazenly launched a nuke.=1389
VoiceOver/AlarakA/CommandCenterUpgraded00,你的指挥中心已升级。 /// Your command center has been upgraded.=1390
VoiceOver/AlarakA/ConstructInterrupt00,你那没骨气的工人们已经停止了建造。 /// Your spineless workers have stopped construction.=1391
VoiceOver/AlarakA/Countdown00,五……四……三……二……一…… /// Five... Four... Three... Two... One...=1392
VoiceOver/AlarakA/EvolutionComplete00,你的异虫进化了，比之前是强了那么一点。 /// Your zerg have evolved, for whatever good that will do them.=1393
VoiceOver/AlarakA/EvolutionComplete01,进化完成。也许这下应该可以了。 /// Evolution complete. Perhaps it will even suffice.=1394
VoiceOver/AlarakA/ForcesUnderAttack00,你的战士已点亮了战刃。 /// Your warriors have ignited their blades.=1395
VoiceOver/AlarakA/ForcesUnderAttackTerran00,你们人类好像个个求死心切。 /// Your terran forces seem eager to die.=1396
VoiceOver/AlarakA/ForcesUnderAttackZerg00,你的异虫爪子上沾血了。 /// Your zerg have bloodied their claws.=1397
VoiceOver/AlarakA/GamePaused00,别让我等着。 /// Do not keep me waiting.=1398
VoiceOver/AlarakA/GameResumed00,终于。 /// Finally.=1399
VoiceOver/AlarakA/GeyserExhausted00,你已经采光了那处气泉的所有瓦斯。 /// You've harvested all the vespene from that geyser.=1400
VoiceOver/AlarakA/GeyserExhausted01,这处气泉已经枯竭了。 /// This geyser has outlived its usefulness.=1401
VoiceOver/AlarakA/GeyserExhaustedTerran00,你的精炼厂已经没剩什么东西可炼的了。 /// Your refinery has nothing left to refine.=1402
VoiceOver/AlarakA/GeyserExhaustedTerran01,那处瓦斯气泉采光了。你的精炼厂现在也没用了。 /// That geyser's vespene is gone. Your refinery is now useless.=1403
VoiceOver/AlarakA/GeyserExhaustedZerg00,你已经采光了那处瓦斯气泉。 /// You've extracted all of that geyser's vespene.=1404
VoiceOver/AlarakA/GeyserExhaustedZerg01,继续从那处气泉里采气是毫无意义的。 /// It is futile to continue extracting from that geyser.=1405
VoiceOver/AlarakA/LandingInterrupt00,着陆区有东西挡着。我建议直接压死他们。 /// The landing zone is occupied. I say crush them.=1406
VoiceOver/AlarakA/MULEDeployed00,矿骡已部署。这个人类工具的名字真是贴切。 /// MULE deployed. A fitting name for a terran tool.=1407
VoiceOver/AlarakA/MaxSupply00,你不能再获得更多补给了。 /// You cannot acquire any additional supply.=1408
VoiceOver/AlarakA/MaxSupply01,你已经达到了补给上限。 /// You have already reached maximum supply.=1409
VoiceOver/AlarakA/MetamorphosisComplete00,变异完成。丑陋无比的造物。 /// Metamorphosis complete. A hideous practice.=1410
VoiceOver/AlarakA/MetamorphosisComplete01,啊，一次成功的变异。 /// Ah, a successful metamorphosis.=1411
VoiceOver/AlarakA/MineralsDepleted00,矿脉已经枯竭。 /// Mineral field depleted.=1412
VoiceOver/AlarakA/MineralsDepleted01,那片矿脉已经没有晶体矿可以开采了。 /// There are no minerals left to mine from that field.=1413
VoiceOver/AlarakA/MineralsDepleted02,你已经采光了那片矿脉的所有晶体矿。 /// Your have already gathered all of that field's minerals.=1414
VoiceOver/AlarakA/MutationComplete00,变异完成。这应该会有用。 /// Mutation complete. This could prove useful.=1415
VoiceOver/AlarakA/MutationComplete01,你的异虫变异出了一些微小的改进。 /// Your zerg have mutated some minor improvements.=1416
VoiceOver/AlarakA/NeedCreep00,那需要有菌毯。这也是异虫的致命弱点。 /// That requires creep. A critical zerg weakness.=1417
VoiceOver/AlarakA/NeedGeyser00,吸纳舱需要有瓦斯气泉。 /// Assimilators require vespene geysers.=1418
VoiceOver/AlarakA/NeedGeyser01,没有瓦斯气泉的吸纳舱有什么用？ /// What good is an assimilator without a geyser?=1419
VoiceOver/AlarakA/NeedMoreFood00,你必须建造更多的水晶塔。 /// You must construct additional pylons.=1420
VoiceOver/AlarakA/NeedMoreFood01,你的补给不足。 /// You have insufficient supply.=1421
VoiceOver/AlarakA/NeedMoreFood02,我是你的话，就会建造更多的水晶塔。 /// I'd warp in more pylons if I were you.=1422
VoiceOver/AlarakA/NeedMoreFoodTerran00,你们这些脆弱的人类需要更多的补给站才行。 /// Your feeble terrans are in need of more supply depots.=1423
VoiceOver/AlarakA/NeedMoreFoodTerran01,你必须先要建造更多的补给站。 /// You must first construct additional supply depots.=1424
VoiceOver/AlarakA/NeedMoreFoodTerran02,好像还需要更多的补给站。 /// It seems additional supply depots are required.=1425
VoiceOver/AlarakA/NeedMoreFoodZerg00,再孵化更多圆球一样的王虫吧。 /// Spawn more of those bulbous overlords.=1426
VoiceOver/AlarakA/NeedMoreFoodZerg01,你的虫巢必须要有更多的王虫才能成长。 /// Your brood cannot grow without overlords.=1427
VoiceOver/AlarakA/NeedMoreFoodZerg02,你需要更多的王虫。恶心的生物。 /// You require more overlords. Disgusting creatures.=1428
VoiceOver/AlarakA/NeedMoreGas00,你需要更多的高能瓦斯。 /// You require more vespene gas.=1429
VoiceOver/AlarakA/NeedMoreGas01,瓦斯不够。 /// There is not enough vespene for that.=1430
VoiceOver/AlarakA/NeedMoreGas02,注意。你需要更多的瓦斯。 /// Pay attention. You need more vespene.=1431
VoiceOver/AlarakA/NeedMoreMinerals00,你的晶体矿太少了。 /// You have too few minerals.=1432
VoiceOver/AlarakA/NeedMoreMinerals01,多采点晶体矿再说吧。 /// Gather more minerals first.=1433
VoiceOver/AlarakA/NeedMoreMinerals02,你的工人必须采集更多的晶体矿。 /// Your workers must gather more minerals.=1434
VoiceOver/AlarakA/NotEnoughEnergy00,能量不足。 /// Not enough energy.=1435
VoiceOver/AlarakA/NotEnoughEnergy01,能量不够。 /// Insufficient energy.=1436
VoiceOver/AlarakA/NukeReady00,聚变打击准备好了。别把你自己给炸死了。 /// Nuclear payload ready. Do try not to kill yourself.=1437
VoiceOver/AlarakA/NukeReady01,你的聚变打击已装填完毕。噢，我很期待这一刻。 /// Your nuke is armed. Oh, I look forward to this.=1438
VoiceOver/AlarakA/PlaceInPowerField00,你必须将其放置在能量场中。 /// You must place that in a power field.=1439
VoiceOver/AlarakA/PylonUnderAttack00,敌人正在攻击一处水晶塔。 /// Your enemy strikes at a pylon.=1440
VoiceOver/AlarakA/QueenDeployed00,一只新的虫后出现了。 /// A new queen has emerged.=1441
VoiceOver/AlarakA/QueenDeployed01,你的异虫诞生了一只新的虫后。 /// Your zerg have birthed a new queen.=1442
VoiceOver/AlarakA/ResearchComplete00,研发完成。 /// Research complete.=1443
VoiceOver/AlarakA/ResearchComplete01,你的研究结束了。 /// Your research has concluded.=1444
VoiceOver/AlarakA/SalvageComplete00,回收完毕。好好玩你的破烂儿吧。 /// Salvage complete. You excel at scavenging.=1445
VoiceOver/AlarakA/ThorRepaired00,你的雷神已经准备好再次丢你脸了。 /// Your thor is ready to fail you again.=1446
VoiceOver/AlarakA/Transmission00,你收到了一条传输信号。 /// You are receiving a transmission.=1447
VoiceOver/AlarakA/TumorUnderAttack00,你那恶臭的菌毯肿瘤正在遭到攻击。 /// Your putrid creep tumor is under attack.=1448
VoiceOver/AlarakA/UpgradeComplete00,升级完毕。 /// Upgrade complete.=1449
VoiceOver/AlarakA/UpgradeComplete01,你的升级已经可以使用了。 /// Your upgrade is ready for use.=1450
VoiceOver/AlarakA/WarpInComplete00,折跃完毕。 /// Warp in complete.=1451
VoiceOver/AlarakA/WarpInComplete01,相位折跃完成。 /// Dimensional warp complete.=1452
VoiceOver/AlarakA/WorkersUnderAttack00,敌人正在攻击你的探机。 /// The enemy is attacking your probes.=1453
VoiceOver/AlarakA/WorkersUnderAttack01,你的探机毫无防备。 /// You have left your probes undefended.=1454
VoiceOver/AlarakA/WorkersUnderAttackTerran00,敌人正在屠杀你的SCV。 /// The enemy is slaying your SCVs.=1455
VoiceOver/AlarakA/WorkersUnderAttackTerran01,你的SCV死得好惨！ /// Your SCVs die so easily!=1456
VoiceOver/AlarakA/WorkersUnderAttackZerg00,你的工蜂正在惨遭屠戮。 /// Your drones are being exterminated.=1457
VoiceOver/AlarakA/WorkersUnderAttackZerg01,敌人正在摧毁你的工蜂。 /// The enemy is crushing your drones.=1458
VoiceOver/ArtanisA/AddOnComplete00,附属建筑搭建完毕。 /// Add-on complete.=1459
VoiceOver/ArtanisA/AddOnComplete01,附属建筑已建造完毕。 /// The add-on has been constructed.=1460
VoiceOver/ArtanisA/AllyBaseUnderAttack00,盟友的基地正遭到攻击！ /// Our allies' base is under siege!=1461
VoiceOver/ArtanisA/AllyUnderAttack00,我们的盟友正与敌人交战。 /// Our allies are engaged in battle.=1462
VoiceOver/ArtanisA/BadLZ00,无法在那里着陆。 /// Unable to land there.=1463
VoiceOver/ArtanisA/BaseUnderAttack00,我们的基地正遭到攻击。 /// Our base is under siege.=1464
VoiceOver/ArtanisA/BuildError00,我们无法折跃至那里。 /// We cannot warp there.=1465
VoiceOver/ArtanisA/BuildErrorTerran00,我们不能建在那里。 /// We cannot build there.=1466
VoiceOver/ArtanisA/BuildErrorZerg00,该指令不可接受。 /// That command is unacceptable.=1467
VoiceOver/ArtanisA/CalldownLaunch00,人类发射了聚变打击武器。 /// The terrans have launched a nuclear weapon.=1468
VoiceOver/ArtanisA/CalldownLaunch01,侦测到在途的聚变打击。 /// A nuclear launch has been detected.=1469
VoiceOver/ArtanisA/CommandCenterUpgraded00,指挥中心已升级。 /// Command center upgraded.=1470
VoiceOver/ArtanisA/ConstructInterrupt00,建造被中断。如果我们能折跃这些就好了…… /// Construction has been interrupted. If only we could warp these in...=1471
VoiceOver/ArtanisA/Countdown00,五……四……三……二……一…… /// Five... Four... Three... Two... One...=1472
VoiceOver/ArtanisA/EvolutionComplete00,进化完成。 /// Evolution complete.=1473
VoiceOver/ArtanisA/EvolutionComplete01,你那可恶的异虫进化了。 /// Your detestable zerg have evolved.=1474
VoiceOver/ArtanisA/ForcesUnderAttack00,神之长子正与敌人交战。 /// The firstborn have engaged the enemy.=1475
VoiceOver/ArtanisA/ForcesUnderAttackTerran00,我们的军队已和敌人交火。 /// Our army has engaged the enemy.=1476
VoiceOver/ArtanisA/ForcesUnderAttackZerg00,你的虫群遭遇了敌人。 /// Your brood has encountered the enemy.=1477
VoiceOver/ArtanisA/GamePaused00,战士们，看来得等一等了。 /// Warriors, it appears we must hold.=1478
VoiceOver/ArtanisA/GameResumed00,战斗之火再次点燃！ /// The battle rages once more!=1479
VoiceOver/ArtanisA/GeyserExhausted00,一处瓦斯气泉已经枯竭。 /// A vespene geyser has been exhausted.=1480
VoiceOver/ArtanisA/GeyserExhausted01,瓦斯已经枯竭。 /// Vespene geyser exhausted.=1481
VoiceOver/ArtanisA/GeyserExhaustedTerran00,一处瓦斯气泉已枯竭。 /// A vespene geyser has been depleted.=1482
VoiceOver/ArtanisA/GeyserExhaustedTerran01,我们已经精炼了此处气泉里的所有瓦斯。 /// We have refined all of this geyser's vespene.=1483
VoiceOver/ArtanisA/GeyserExhaustedZerg00,此处瓦斯气泉已经彻底枯竭。 /// This geyser's vespene has been fully extracted.=1484
VoiceOver/ArtanisA/GeyserExhaustedZerg01,瓦斯已经枯竭。 /// Vespene geyser exhausted.=1485
VoiceOver/ArtanisA/LandingInterrupt00,着陆区被阻挡。 /// The landing zone is obstructed.=1486
VoiceOver/ArtanisA/MULEDeployed00,正在部署……矿骡？这些人类名字真是…… /// Deploying... MULEs? These terran names...=1487
VoiceOver/ArtanisA/MaxSupply00,无法执行，我们已达到最大补给。 /// That is not possible. We are at maximum supply.=1488
VoiceOver/ArtanisA/MaxSupply01,我们的战士数量过多。 /// We can support no more warriors.=1489
VoiceOver/ArtanisA/MetamorphosisComplete00,蜕变完成。 /// Metamorphosis complete.=1490
VoiceOver/ArtanisA/MetamorphosisComplete01,蜕变成功。 /// Metamorphosis successful.=1491
VoiceOver/ArtanisA/MineralsDepleted00,矿脉已经枯竭。 /// Mineral field depleted.=1492
VoiceOver/ArtanisA/MineralsDepleted01,一处矿脉已经枯竭。 /// A mineral field has been depleted.=1493
VoiceOver/ArtanisA/MineralsDepleted02,我们的一处矿脉枯竭了。 /// We've depleted a mineral field.=1494
VoiceOver/ArtanisA/MutationComplete00,变异完成。 /// Mutation complete.=1495
VoiceOver/ArtanisA/MutationComplete01,你那奇丑无比的异虫变异成了某种新形态。 /// Your grotesque zerg have mutated into something new.=1496
VoiceOver/ArtanisA/NeedCreep00,必须在菌毯上才能变异。 /// That must be morphed on creep.=1497
VoiceOver/ArtanisA/NeedGeyser00,只能放置在瓦斯气泉上。 /// That can only be placed on a vespene geyser.=1498
VoiceOver/ArtanisA/NeedGeyserProtoss00,我们的吸纳舱必须放置在瓦斯气泉上。 /// Our assimilator must be placed on a vespene geyser.=1499
VoiceOver/ArtanisA/NeedMoreFood00,我们需要建造更多的水晶塔。 /// We must construct additional pylons.=1500
VoiceOver/ArtanisA/NeedMoreFood01,我们的补给不足。 /// Our supply is constrained.=1501
VoiceOver/ArtanisA/NeedMoreFood02,我们需要更多的水晶塔。 /// We require additional pylons.=1502
VoiceOver/ArtanisA/NeedMoreFoodTerran00,我们需要更多的补给站。 /// We require additional supply depots.=1503
VoiceOver/ArtanisA/NeedMoreFoodTerran01,你必须建造更多的补给站。 /// You must construct additional supply depots.=1504
VoiceOver/ArtanisA/NeedMoreFoodTerran02,那必须要有更多的补给站才行。 /// That necessitates additional supply depots.=1505
VoiceOver/ArtanisA/NeedMoreFoodZerg00,孵化更多的王虫。 /// Spawn more overlords.=1506
VoiceOver/ArtanisA/NeedMoreFoodZerg01,你那令人作呕的虫群需要更多的王虫。 /// Your disgusting brood needs more overlords.=1507
VoiceOver/ArtanisA/NeedMoreFoodZerg02,需要更多的王虫。 /// Additional overlords are required.=1508
VoiceOver/ArtanisA/NeedMoreGas00,我们需要更多的高能瓦斯。 /// We require more vespene gas.=1509
VoiceOver/ArtanisA/NeedMoreGas01,高能瓦斯不足。 /// We have not enough vespene.=1510
VoiceOver/ArtanisA/NeedMoreGas02,需要更多的高能瓦斯。 /// More vespene is required.=1511
VoiceOver/ArtanisA/NeedMoreMinerals00,晶体矿不足。 /// There are not enough minerals.=1512
VoiceOver/ArtanisA/NeedMoreMinerals01,需要更多的晶体矿。 /// More minerals required.=1513
VoiceOver/ArtanisA/NeedMoreMinerals02,晶体矿不足。 /// Insufficient minerals.=1514
VoiceOver/ArtanisA/NotEnoughEnergy00,能量不足。 /// Insufficient energy.=1515
VoiceOver/ArtanisA/NotEnoughEnergy01,没有足够的能量。 /// Not enough energy.=1516
VoiceOver/ArtanisA/NukeReady00,核弹头已装配就绪。 /// Nuclear payload primed.=1517
VoiceOver/ArtanisA/NukeReady01,我们的核聚变武器已装配完毕。 /// Our nuclear weapon has been armed.=1518
VoiceOver/ArtanisA/PlaceInPowerField00,必须放置在能量场内。 /// That must be placed within the power field.=1519
VoiceOver/ArtanisA/PylonUnderAttack00,我们的水晶塔遭到攻击。 /// Our pylon is under attack.=1520
VoiceOver/ArtanisA/QueenDeployed00,一只新的虫后出生了。 /// A new queen has been birthed.=1521
VoiceOver/ArtanisA/QueenDeployed01,一只虫后出现了。 /// A queen has emerged.=1522
VoiceOver/ArtanisA/ResearchComplete00,研发完成。 /// Research complete.=1523
VoiceOver/ArtanisA/ResearchComplete01,研发已经完成。 /// Our research is complete.=1524
VoiceOver/ArtanisA/SalvageComplete00,我们回收了一处残骸。 /// We have salvaged a wreckage.=1525
VoiceOver/ArtanisA/ThorRepaired00,我们的雷神已修复。 /// Our Thor has been repaired.=1526
VoiceOver/ArtanisA/Transmission00,我们接收到一条传输信息。 /// We are receiving a transmission.=1527
VoiceOver/ArtanisA/TumorUnderAttack00,一个菌毯肿瘤正在遭受攻击。 /// A creep tumor is under attack.=1528
VoiceOver/ArtanisA/UpgradeComplete00,升级完成。 /// Upgrade complete.=1529
VoiceOver/ArtanisA/UpgradeComplete01,升级已经完成。 /// Our upgrade has finished.=1530
VoiceOver/ArtanisA/WarpInComplete00,空间折跃完成。 /// Dimensional warp complete.=1531
VoiceOver/ArtanisA/WarpInComplete01,折跃完毕。 /// Warp in complete.=1532
VoiceOver/ArtanisA/WorkersUnderAttack00,我们的探机遭到攻击！ /// Our probes are under attack!=1533
VoiceOver/ArtanisA/WorkersUnderAttack01,敌人正在攻击我们的探机！ /// The enemy is attacking our probes!=1534
VoiceOver/ArtanisA/WorkersUnderAttackTerran00,我们的SCV正在遭受攻击。 /// Our SCVs are under assault.=1535
VoiceOver/ArtanisA/WorkersUnderAttackTerran01,敌人正在攻击我们的SCV。 /// The enemy is attacking our SCVs.=1536
VoiceOver/ArtanisA/WorkersUnderAttackZerg00,工蜂遭到攻击。 /// Drones are under attack.=1537
VoiceOver/ArtanisA/WorkersUnderAttackZerg01,你的工蜂正在惨遭屠戮。 /// Your drones are being exterminated.=1538
VoiceOver/DVaA/AddOnComplete00,附属建筑搭建完成。 /// Add-on complete. =1539
VoiceOver/DVaA/AddOnComplete01,附属建筑已就绪！真够费时的！ /// Add-on's done! Took long enough!=1540
VoiceOver/DVaA/AddOnComplete02,附属建筑已完成。 /// Add-on's finished.=1541
VoiceOver/DVaA/AllyBaseUnderAttack00,盟友的基地正在遭受攻击！看你的了。 /// Your ally's base is under attack! Get ready to carry.=1542
VoiceOver/DVaA/AllyBaseUnderAttack01,盟友的基地正在遭受攻击。 /// Our ally's base is under attack.=1543
VoiceOver/DVaA/AllyBaseUnderAttack02,你的盟友基地遭到攻击！ /// Your allies' base is besieged!=1544
VoiceOver/DVaA/AllyBaseUnderAttack03,我们盟友的基地受到威胁。 /// Our allies' base is threatened.=1545
VoiceOver/DVaA/AllyUnderAttack00,你的盟友遭到攻击！가서 도와 줘! /// Your ally's being attacked! 가서 도와 줘!=1546
VoiceOver/DVaA/AllyUnderAttack01,我们的盟友正在遭受攻击。 /// Our allies are being attacked.=1547
VoiceOver/DVaA/AllyUnderAttack02,你的盟友正在交战。 /// Your allies are in battle.=1548
VoiceOver/DVaA/AllyUnderAttack03,我们的盟友正在交战。 /// Our allies are in combat.=1549
VoiceOver/DVaA/BadLZ00,你不能降落在那儿！ 뭐 하삼? /// You can't land there! 뭐 하삼?=1550
VoiceOver/DVaA/BadLZ01,无法接受的着陆区。 /// Unacceptable landing zone.=1551
VoiceOver/DVaA/BaseUnderAttack00,你的基地遭到攻击！镇定。 /// Your base is under attack! Stay cool.=1552
VoiceOver/DVaA/BaseUnderAttack01,基地遭到攻击。 /// Base is under attack.=1553
VoiceOver/DVaA/BaseUnderAttack02,他们正在攻击你的基地。 /// They're attacking your base, you know.=1554
VoiceOver/DVaA/BuildError00,你不能在那里建造！ /// You can't build there!=1555
VoiceOver/DVaA/BuildErrorProtoss00,你不能折跃到那里！注意！ /// You can't warp in there! Pay attention!=1556
VoiceOver/DVaA/BuildErrorZerg00,哈，你不能那么做。 /// LOL, you can't do that.=1557
VoiceOver/DVaA/CalldownLaunch00,侦测到聚变打击。GG！ /// Nuke detected. GG!=1558
VoiceOver/DVaA/CalldownLaunch01,聚变打击来袭！但愿你有反隐！ /// Incoming nuke! Hope you have detection!=1559
VoiceOver/DVaA/CalldownLaunch02,侦测到在途的聚变打击。 /// Nuclear launch detected.=1560
VoiceOver/DVaA/CommandCenterUpgraded00,主基地已升级！ /// CC's upgraded!=1561
VoiceOver/DVaA/ConstructInterrupt00,你的SCV被什么东西干扰了。蠢萌的SCV。 /// Your SCV's been interrupted. Stupid Terran.=1562
VoiceOver/DVaA/Countdown00,五……四……三……二……一…… /// Five... Four... Three... Two...  One...=1563
