Character/Description/Hill,This is the same character that appears in the Wings of Liberty campaign. (Already cast). A gruff mercenary captain who has had a hard life on the battlefield, he fights for profit and not for a cause.=0
Character/Name/ArtanisUI,아르타니스 /// Artanis=1
Conversation/UI_VO/Comment00001,준비 완료=1194
Conversation/UI_VO/Comment00002,대기 상태=1195
Conversation/UI_VO/Comment00003,준비 완료=1196
Conversation/UI_VO/Comment00004,대기 상태=1197
Conversation/UI_VO/Comment00005,준비 완료=1198
Conversation/UI_VO/Comment00006,대기 상태=1199
Conversation/UI_VO/Comment00007,준비 완료=1200
Conversation/UI_VO/Comment00008,대기 상태=1201
Conversation/UI_VO/Comment00009,END=1202
Conversation/UI_VO/Group00001,UI VO=1203
Conversation/UI_VO/Group00002,리버티=1204
Conversation/UI_VO/Group00003,Swarm=1205
Conversation/UI_VO/Group00004,서막=1206
Conversation/UI_VO/Group00005,Void=1207
Conversation/UI_VO/Group00006,Easter Egg=1208
Conversation/UI_VO/Line00001,특공대 나가신다. /// Raiders roll.=1209
Conversation/UI_VO/Line00002,자, 작전을 시작해 보자고, 친구? /// What do ya say we get this show on the road, partner?=1210
Conversation/UI_VO/Line00003,나는 군단이다.=1211
Conversation/UI_VO/Line00004,내 인내심을 시험하는군. 어리석은 생각이다. /// You're trying my patience. Not recommended.=1212
Conversation/UI_VO/Line00005,난 계속 찾아 나가겠다. /// My search continues.=1213
Conversation/UI_VO/Line00006,은하계의 운명이 우리 손에 달렸다. 더는 지체해선 안 된다. /// The fate of the galaxy is in our hands. We must not delay any further.=1214
Conversation/UI_VO/Line00007,아이어를 위하여!=1215
Conversation/UI_VO/Line00008,여명은 다시 밝아 오리니, 어서 오라, 나와 함께 맞이하자. /// A new dawn comes. Join me, and we shall meet it together.=1216
Conversation/UI_VO/Line00009,책상다리를 하고 편하게 앉으십시오. 숨을 들이쉬면서 10까지 세고, 다시 내쉬면서 12까지 세십시오. 구름과 천사, 태양, 발 아래 토끼를 상상하십시오. 가슴 속에서 웃음을 터트리고 영혼의 빛을 내뿜으십시오. 당신은 아름답습니다. 당신은 이 세계의 소중한 존재입니다. 쓰레기가 아닙니다. 자신을 사랑하십시오. 자신을 포옹하십시오. 하지만 누구에게도 그런 모습을 들키진 마십시오. /// Sit comfortably in a lotus position. When you breathe in, count to 10. Breathing out, count to 12. Imagine clouds, angels, the sun, and bunnies on your feet. Giggle internally and let your soul light shine. You are beautiful. You are meant to be in this world. You are not trash. Love yourself. Hug yourself. But don't let anyone see.=1217
Conversation/UnknownConversation/Group00001,인공지능 통신=1218
Conversation/UnknownConversation/Group00002,Protoss=1219
Conversation/UnknownConversation/Group00003,Terran=1220
Conversation/UnknownConversation/Group00004,Zerg=1221
Conversation/acLobby/Comment00001,인사=1222
Conversation/acLobby/Comment00002,선택=1223
Conversation/acLobby/Comment00003,난이도=1224
Conversation/acLobby/Comment00004,END=1225
Conversation/acLobby/Comment00005,강화됨=1226
Conversation/acLobby/Comment00006,자세한 내용=1227
Conversation/acLobby/Comment00007,New Commander=1228
Conversation/acLobby/Comment00008,New Maps=1229
Conversation/acLobby/Comment00009,First Time Selection=1230
Conversation/acLobby/Group00001,Allied Commander Lobby VO=1231
Conversation/acLobby/Line00001,부관 가동. 반갑습니다. 동맹 사령관 모듈에 오신 것을 환영합니다. /// Adjutant Online: Greetings and welcome to the Allied Commander module.=1232
Conversation/acLobby/Line00002,이곳에선 다른 사령관과 힘을 합쳐 적 병력과 전투를 벌일 수 있습니다. /// Here you and another Commander will join forces and engage enemy combatants together.=1233
Conversation/acLobby/Line00005,준비되셨으면, 사령관을 선택해 주십시오. /// You may select a commander when you are ready.=1234
Conversation/acLobby/Line00006,사령관을 선택하십시오. /// Select a commander.=1235
Conversation/acLobby/Line00007,여기에서 임무 난이도를 조정할 수 있습니다. /// Mission difficulty can be altered here.=1236
Conversation/acLobby/Line00008,진급을 축하드립니다, 사령관님. 계속해서 레벨이 올라가면 새로운 유닛과 능력이 개방됩니다. /// Congratulations on your promotion, Commander. As you continue to gain levels, you will unlock new units and abilities.=1237
Conversation/acLobby/Line00009,여기에서 사령관이 현재 사용할 수 있는 유닛과 능력을 확인할 수 있습니다. /// You can learn more about your commander's currently available units and abilities here.=1238
Conversation/acLobby/Line00010,새로운 사령관을 사용할 수 있습니다. 언제든 확인해 주십시오. /// New commanders are now available. You may review them at your leisure.=1239
Conversation/acLobby/Line00011,새로운 임무가 활성화되었습니다, 사령관님. /// New missions have come online, Commander.=1240
Conversation/pCinematic_Protoss00/Comment00001,END=1241
Conversation/pCinematic_Protoss00/Group00001,Protoss00 - As One (Pre-Render)=1242
Conversation/pCinematic_Protoss00/Group00002,Exertions=1243
Conversation/pCinematic_Protoss00/Line00001,군단은 우리의 세계를 폐허로 만들었고=1244
Conversation/pCinematic_Protoss00/Line00002,자랑스러운 우리 동족은 고향을 떠나야만 했다.=1245
Conversation/pCinematic_Protoss00/Line00003,하지만... /// And yet...=1246
Conversation/pCinematic_Protoss00/Line00004,그들은 우리의 결속마저 끊지는 못했다.=1247
Conversation/pCinematic_Protoss00/Line00006,우리는 신성한 칼라를 통해...=1248
Conversation/pCinematic_Protoss00/Line00007,모든 생각과, 모든 감정을, 함께 나누기 때문이다.=1249
Conversation/pCinematic_Protoss00/Line00011,오늘 우리는 되찾으리라...=1250
Conversation/pCinematic_Protoss00/Line00012,우리의 고향과, 우리의 유산을.=1251
Conversation/pCinematic_Protoss00/Line00013,압도적인 힘으로.=1252
Conversation/pCinematic_Protoss00/Line00014,(죽음 호흡)=1253
Conversation/pCinematic_Protoss00/Line00015,(고통스러운 호흡)=1254
Conversation/pCinematic_Protoss00/Line00016,(집정관이 저그에 레이저 발사)=1255
Conversation/pCinematic_Protoss00/Line00017,(울트라리스크가 집정관을 우주모함 쪽으로 밀침)=1256
Conversation/pCinematic_Protoss00/Line00018,(울트라리스크가 집정관을 우주모함 쪽으로 밀침)=1257
Conversation/pCinematic_Protoss00/Line00019,(울트라리스크의 팔을 내리침)=1258
Conversation/pCinematic_Protoss00/Line00020,(다시 찔림)=1259
Conversation/zPrerender_ZI/Group00001,ZI=1260
Conversation/zPrerender_ZI/Group00002,Exertions=1261
Conversation/zPrerender_ZI/Group00003,OBSOLETE=1262
Conversation/zPrerender_ZI/Line00001,나는 군단이다.=1263
Conversation/zPrerender_ZI/Line00002,군대는 초토화되고, 세계는 불타리라.=1264
Conversation/zPrerender_ZI/Line00003,오랜 기다림 끝에, 이 세계에서, 복수는 내것이 되리니.=1265
Conversation/zPrerender_ZI/Line00004,내가 바로 칼날 여왕이다.=1266
Conversation/zPrerender_ZI/Line00005,내가 정말?=1267
Conversation/zPrerender_ZI/Line00006,(비명)=1268
Conversation/zPrerender_ZI/Line00009,(비명)=1269
Conversation/zPrerender_ZI/Line00010,(놀란 호흡)=1270
Conversation/zPrerender_ZI/Line00011,군대는 초토화되고,=1271
Conversation/zPrerender_ZI/Line00012,세계는 불타리라.=1272
Conversation/zPrerender_ZI/Line00013,오랜 기다림 끝에,=1273
Conversation/zPrerender_ZI/Line00014,이 세계에서,=1274
Conversation/zPrerender_ZI/Line00015,복수는 내것이 되리니. /// vengeance shall be mine.=1275
ConversationState/Characters/CharAdjutant,부관 /// Adjutant=1276
ConversationState/Characters/CharExecutor,집행관 /// Executor=1277
ConversationState/Characters/CharQueen,여왕 /// Queen=1278
ConversationState/Characters/ModUtilityVoice,ModUtilityVoice=1279
VoiceOver/AbathurA/AddOnComplete00,부속건물 완성. /// Add-on constructed.=1280
VoiceOver/AbathurA/AddOnComplete01,부속건물 가동. /// Add-on, operational.=1281
VoiceOver/AbathurA/AllyBaseUnderAttack00,동맹 기지, 공격받고 있음. /// Ally's base, under assault.=1282
VoiceOver/AbathurA/AllyUnderAttack00,동맹 병력이 전투 중임. /// Allied forces in combat.=1283
VoiceOver/AbathurA/BadLZ00,그 지점엔 착륙할 수 없음. /// Unacceptable landing zone.=1284
VoiceOver/AbathurA/BaseUnderAttack00,기지가 공격받고 있음. /// Base under siege.=1285
VoiceOver/AbathurA/BuildError00,받아들일 수 없는 명령임. /// Command unacceptable.=1286
VoiceOver/AbathurA/BuildErrorProtoss00,그곳에는 소환할 수 없음. /// Cannot warp there.=1287
VoiceOver/AbathurA/BuildErrorTerran00,그곳엔 건설할 수 없음. /// Cannot build there.=1288
VoiceOver/AbathurA/CalldownLaunch00,핵 공격 감지됨. /// Nuclear launch observed.=1289
VoiceOver/AbathurA/CalldownLaunch01,핵 공격 임박함. /// Imminent nuclear launch.=1290
VoiceOver/AbathurA/CommandCenterUpgraded00,사령부 업그레이드 완료. /// Command center, upgraded.=1291
VoiceOver/AbathurA/ConstructInterrupt00,건설, 중단됨. /// Construction interrupted.=1292
VoiceOver/AbathurA/Countdown00,오... 사... 삼... 이... 일... /// Five... Four... Three... Two... One...=1293
VoiceOver/AbathurA/EvolutionComplete00,진화 완료. /// Evolution complete.=1294
VoiceOver/AbathurA/EvolutionComplete01,군단이 진화했음. /// Swarm has evolved.=1295
VoiceOver/AbathurA/ForcesUnderAttack00,군단 병력이 공격받고 있음. /// Swarm forces under attack.=1296
VoiceOver/AbathurA/ForcesUnderAttackProtoss00,프로토스 병력, 교전 중. /// Protoss forces, now in combat.=1297
VoiceOver/AbathurA/ForcesUnderAttackTerran00,적 병력과 교전 중. /// Hostile forces engaged.=1298
VoiceOver/AbathurA/GamePaused00,게임을 일시 정지함. /// Game paused.=1299
VoiceOver/AbathurA/GameResumed00,게임을 계속함. /// Game resumed.=1300
VoiceOver/AbathurA/GeyserExhausted00,베스핀 간헐천 고갈됨. /// Vespene geyser exhasusted.=1301
VoiceOver/AbathurA/GeyserExhausted01,베스핀 간헐천 소진됨. /// Vespene geyser, depleted.=1302
VoiceOver/AbathurA/LandingInterrupt00,착륙 지점에 방해물이 있음. /// Landing zone, obstructed.=1303
VoiceOver/AbathurA/MULEDeployed00,지게로봇 배치 중. /// Deploying MULE.=1304
VoiceOver/AbathurA/MaxSupply00,안 됨. 불가능함. 보급품 한도에 도달함. /// No. Not possible. Supply limit reached.=1305
VoiceOver/AbathurA/MaxSupply01,군단의 보급품, 한도에 다다름. /// Swarm at maximum supply.=1306
VoiceOver/AbathurA/MetamorphosisComplete00,변형 완료. /// Metamorphosis complete.=1307
VoiceOver/AbathurA/MetamorphosisComplete01,변형 완료됨. /// Completing metamorphosis.=1308
VoiceOver/AbathurA/MineralsDepleted00,광맥 고갈됨. /// Mineral field exhausted.=1309
VoiceOver/AbathurA/MineralsDepleted01,광맥 소진됨. /// Mineral field, depleted.=1310
VoiceOver/AbathurA/MineralsDepleted02,광물 지대, 말라 버림. /// Mineral cluster, expended.=1311
VoiceOver/AbathurA/MutationComplete00,변이 완료. /// Mutation complete.=1312
VoiceOver/AbathurA/MutationComplete01,유전자, 변형됨. 군단, 변이됨. /// Sequences, spun. Swarm, mutated.=1313
VoiceOver/AbathurA/NeedCreep00,점막 위에서 변태해야 함. /// Must be morphed on creep.=1314
VoiceOver/AbathurA/NeedGeyser00,베스핀 간헐천 위에 배치해야 함. /// Structure must be placed on vespene geyser.=1315
VoiceOver/AbathurA/NeedGeyser01,베스핀 간헐천 위에서 변이해야 함. /// Vespene geyser, required for morph.=1316
VoiceOver/AbathurA/NeedGeyserProtoss00,베스핀 간헐천 위에 소환해야 함. /// Must be warped on vespene geyser.=1317
VoiceOver/AbathurA/NeedGeyserProtoss01,소환하려면 베스핀 간헐천이 필요함. /// Vespene geyser required for warp.=1318
VoiceOver/AbathurA/NeedGeyserTerran00,정제소는 베스핀 간헐천 위에 지어야 함. /// Refinery requires vespene geyser.=1319
VoiceOver/AbathurA/NeedGeyserTerran01,베스핀 간헐천이 필요함. /// Vespene geyser required.=1320
VoiceOver/AbathurA/NeedMoreFood00,대군주, 더 생성해야 함. /// Must spawn more Overlords.=1321
VoiceOver/AbathurA/NeedMoreFood01,대군주, 부족함. /// Insufficient Overlords.=1322
VoiceOver/AbathurA/NeedMoreFood02,대군주 더 필요함. /// More Overlords required.=1323
VoiceOver/AbathurA/NeedMoreFoodProtoss00,수정탑 더 지어야 함. /// Must construct additional pylons.=1324
VoiceOver/AbathurA/NeedMoreFoodProtoss01,수정탑 더 필요함. /// Additional pylons required.=1325
VoiceOver/AbathurA/NeedMoreFoodProtoss02,보급품 부족함. 수정탑, 비효율적임. /// Inadequate supply. Pylons, inefficient.=1326
VoiceOver/AbathurA/NeedMoreFoodTerran00,추가 보급고 필요함. /// Additional supply depots required.=1327
VoiceOver/AbathurA/NeedMoreFoodTerran01,보급고 더 건설해야 함. /// Must build more supply depots.=1328
VoiceOver/AbathurA/NeedMoreFoodTerran02,보급고, 부족함. 대군주가 더 우월함. /// Supply depots, insufficient. Overlords, superior.=1329
VoiceOver/AbathurA/NeedMoreGas00,추가 베스핀 가스 필요함. /// Additional vespene gas required.=1330
VoiceOver/AbathurA/NeedMoreGas01,베스핀 가스 부족함. /// Insufficient vespene gas.=1331
VoiceOver/AbathurA/NeedMoreGas02,베스핀 가스 더 있어야 함. /// Need more vespene gas.=1332
VoiceOver/AbathurA/NeedMoreMinerals00,광물 충분치 않음. /// Mineral quantity insufficient.=1333
VoiceOver/AbathurA/NeedMoreMinerals01,광물 더 필요함. /// More minerals required.=1334
VoiceOver/AbathurA/NeedMoreMinerals02,광물 부족함. /// Not enough minerals.=1335
VoiceOver/AbathurA/NotEnoughEnergy00,에너지 부족함. /// Insufficient energy.=1336
VoiceOver/AbathurA/NotEnoughEnergy01,에너지 충분치 않음. /// Not enough energy.=1337
VoiceOver/AbathurA/NukeReady00,핵 무기, 준비됨. /// Nuclear ordnance, primed.=1338
VoiceOver/AbathurA/NukeReady01,핵탄두 발사 준비 완료. /// Nuclear warhead prepared for launch.=1339
VoiceOver/AbathurA/PlaceInPowerField00,동력장 안에 배치해야 함. /// Must be placed in power field.=1340
VoiceOver/AbathurA/PylonUnderAttack00,수정탑, 공격받고 있음. /// Pylon, under assault.=1341
VoiceOver/AbathurA/QueenDeployed00,여왕 생성, 성공. /// Queen birth successful.=1342
VoiceOver/AbathurA/QueenDeployed01,새로운 여왕, 준비됨. /// Newly birthed queen, ready.=1343
VoiceOver/AbathurA/ResearchComplete00,연구 완료. /// Research, completed.=1344
VoiceOver/AbathurA/ResearchComplete01,신기술, 연구 완료. /// New technology, researched.=1345
VoiceOver/AbathurA/SalvageComplete00,잔해 회수 완료. /// Wreckage salvaged.=1346
VoiceOver/AbathurA/ThorRepaired00,토르, 수리 완료. /// Thor, repaired.=1347
VoiceOver/AbathurA/Transmission00,신호 수신 중. /// Transmission received.=1348
VoiceOver/AbathurA/TumorUnderAttack00,점막 종양이 공격받고 있음. /// Creep Tumor under attack.=1349
VoiceOver/AbathurA/UpgradeComplete00,업그레이드 완료. /// Upgrade, completed.=1350
VoiceOver/AbathurA/UpgradeComplete01,병력, 업그레이드됨. /// Army, upgraded.=1351
VoiceOver/AbathurA/WarpInComplete00,소환 완료. /// Warp in, complete.=1352
VoiceOver/AbathurA/WarpInComplete01,소환 성공. /// Warp successful.=1353
VoiceOver/AbathurA/WorkersUnderAttack00,일벌레가 공격받고 있음. /// Drones under attack.=1354
VoiceOver/AbathurA/WorkersUnderAttack01,적이 일벌레 공격 중. /// Enemy, assaulting drones.=1355
VoiceOver/AbathurA/WorkersUnderAttackProtoss00,탐사정이 공격받고 있음. /// Probes under attack.=1356
VoiceOver/AbathurA/WorkersUnderAttackProtoss01,적이 탐사정을 공격 중임. /// Enemy assaulting probes.=1357
VoiceOver/AbathurA/WorkersUnderAttackTerran00,건설로봇이 공격받고 있음. /// SCVs under attack.=1358
VoiceOver/AbathurA/WorkersUnderAttackTerran01,적이 건설로봇 공격 중. /// Enemy attacking SCVs.=1359
VoiceOver/AlarakA/AddOnComplete00,음, 자그마한 부속건물이 완성됐다. /// Your little add-on is complete.=1360
VoiceOver/AlarakA/AddOnComplete01,부속건물이 완성됐다. 무슨 소용이 있을진 모르겠지만. /// Add-on complete, for what little good it does.=1361
VoiceOver/AlarakA/AllyBaseUnderAttack00,동맹의 기지가 공격받고 있다. /// Your ally's base is besieged.=1362
VoiceOver/AlarakA/AllyUnderAttack00,동맹이 혼자 전투에 돌입했다. /// Your allies have entered combat without you.=1363
VoiceOver/AlarakA/BadLZ00,너희의 기술력으론 그곳에 착륙할 수 없다. /// Your engineers are too inept to land there.=1364
VoiceOver/AlarakA/BaseUnderAttack00,기지가 공격받고 있다. /// Your base is under assault.=1365
VoiceOver/AlarakA/BuildError00,오, 거기에 소환할 수 있을 것 같나? /// Did you think you could warp there?=1366
VoiceOver/AlarakA/BuildErrorTerran00,거기엔 건설할 수 없다. /// It is impossible to build there.=1367
VoiceOver/AlarakA/BuildErrorZerg00,불가능하다. /// Impossible.=1368
VoiceOver/AlarakA/CalldownLaunch00,오, 그 유명한 테란 핵 미사일이로군. 참 구닥다리 무기지. /// Ah, the famed terran nuke. Such a quaint weapon.=1369
VoiceOver/AlarakA/CalldownLaunch01,테란이 겁도 없이 핵 미사일을 발사했다. /// The terrans have brazenly launched a nuke.=1370
VoiceOver/AlarakA/CommandCenterUpgraded00,사령부가 업그레이드됐다. /// Your command center has been upgraded.=1371
VoiceOver/AlarakA/ConstructInterrupt00,너의 겁쟁이 일꾼들이 건설을 멈췄다. /// Your spineless workers have stopped construction.=1372
VoiceOver/AlarakA/Countdown00,오... 사... 삼... 이... 일... /// Five... Four... Three... Two... One...=1373
VoiceOver/AlarakA/EvolutionComplete00,저그가 진화를 마쳤다. 어디에 쓸 수 있을진 모르겠지만. /// Your zerg have evolved, for whatever good that will do them.=1374
VoiceOver/AlarakA/EvolutionComplete01,진화 완료. 이거면 충분할 것이다. /// Evolution complete. Perhaps it will even suffice.=1375
VoiceOver/AlarakA/ForcesUnderAttack00,전사들이 검에 불을 밝혔다. /// Your warriors have ignited their blades.=1376
VoiceOver/AlarakA/ForcesUnderAttackTerran00,너희 테란 병력이 죽고 싶어 안달이 난 모양이로군. /// Your terran forces seem eager to die.=1377
VoiceOver/AlarakA/ForcesUnderAttackZerg00,너의 저그가 발톱을 피로 물들였다. /// Your zerg have bloodied their claws.=1378
VoiceOver/AlarakA/GamePaused00,날 기다리게 하지 마라. /// Do not keep me waiting.=1379
VoiceOver/AlarakA/GameResumed00,하, 이제서야. /// Finally.=1380
VoiceOver/AlarakA/GeyserExhausted00,이 간헐천의 베스핀 가스를 모두 채취했다. /// You've harvested all the vespene from that geyser.=1381
VoiceOver/AlarakA/GeyserExhausted01,이 간헐천은 이제 쓸모없다. /// This geyser has outlived its usefulness.=1382
VoiceOver/AlarakA/GeyserExhaustedTerran00,오, 정제소에서 이제 더 정제할 게 없다. /// Your refinery has nothing left to refine.=1383
VoiceOver/AlarakA/GeyserExhaustedTerran01,저 간헐천에 베스핀 가스가 바닥났다. 정제소는 이제 쓸모없게 됐군. /// That geyser's vespene is gone. Your refinery is now useless.=1384
VoiceOver/AlarakA/GeyserExhaustedZerg00,하, 저 간헐천의 베스핀 가스를 모두 추출했다. /// You've extracted all of that geyser's vespene.=1385
VoiceOver/AlarakA/GeyserExhaustedZerg01,저 간헐천에서 가스를 계속 추출하려 해 봐야 아무 소용없다. /// It is futile to continue extracting from that geyser.=1386
VoiceOver/AlarakA/LandingInterrupt00,착륙 지점에 방해물이 있다. 나 같으면 파괴해 버리겠다. /// The landing zone is occupied. I say crush them.=1387
VoiceOver/AlarakA/MULEDeployed00,지게로봇이 배치됐다. 테란 기계다운 이름이로군. /// MULE deployed. A fitting name for a terran tool.=1388
VoiceOver/AlarakA/MaxSupply00,보급품을 더 확보할 수 없다. /// You cannot acquire any additional supply.=1389
VoiceOver/AlarakA/MaxSupply01,보급품이 한도에 도달했다. /// You have already reached maximum supply.=1390
VoiceOver/AlarakA/MetamorphosisComplete00,변형 완료. 으, 참 흉측하기도 하지. /// Metamorphosis complete. A hideous practice.=1391
VoiceOver/AlarakA/MetamorphosisComplete01,아, 성공적으로 변형을 마쳤다. /// Ah, a successful metamorphosis.=1392
VoiceOver/AlarakA/MineralsDepleted00,광맥이 고갈됐다. /// Mineral field depleted.=1393
VoiceOver/AlarakA/MineralsDepleted01,저 광맥에서는 더 채취할 광물이 없다. /// There are no minerals left to mine from that field.=1394
VoiceOver/AlarakA/MineralsDepleted02,저 광물 지대의 광물은 모두 채취됐다. /// Your have already gathered all of that field's minerals.=1395
VoiceOver/AlarakA/MutationComplete00,변이 완료. 이거 유용하겠군. /// Mutation complete. This could prove useful.=1396
VoiceOver/AlarakA/MutationComplete01,저그가 몇 가지 사소한 능력을 변이시켰다. /// Your zerg have mutated some minor improvements.=1397
VoiceOver/AlarakA/NeedCreep00,점막이 필요하다. 저그의 치명적인 단점이지. /// That requires creep. A critical zerg weakness.=1398
VoiceOver/AlarakA/NeedGeyser00,융화소는 베스핀 간헐천 위에 지어야 한다. /// Assimilators require vespene geysers.=1399
VoiceOver/AlarakA/NeedGeyser01,간헐천 없는 융화소를 어디다 쓰겠느냐? /// What good is an assimilator without a geyser?=1400
VoiceOver/AlarakA/NeedMoreFood00,수정탑을 더 건설해야 한다. /// You must construct additional pylons.=1401
VoiceOver/AlarakA/NeedMoreFood01,보급품이 부족하다. /// You have insufficient supply.=1402
VoiceOver/AlarakA/NeedMoreFood02,나라면 수정탑을 더 소환할 것이다. /// I'd warp in more pylons if I were you.=1403
VoiceOver/AlarakA/NeedMoreFoodTerran00,오, 너희 나약한 테란에게 보급고가 더 필요하다. /// Your feeble terrans are in need of more supply depots.=1404
VoiceOver/AlarakA/NeedMoreFoodTerran01,먼저 보급고를 더 건설해라. /// You must first construct additional supply depots.=1405
VoiceOver/AlarakA/NeedMoreFoodTerran02,보급고를 더 건설해야 할 것 같은데. /// It seems additional supply depots are required.=1406
VoiceOver/AlarakA/NeedMoreFoodZerg00,그 흉측한 대군주를 더 생성해라. /// Spawn more of those bulbous overlords.=1407
VoiceOver/AlarakA/NeedMoreFoodZerg01,대군주 없이는 무리를 성장시킬 수 없다. /// Your brood cannot grow without overlords.=1408
VoiceOver/AlarakA/NeedMoreFoodZerg02,대군주가 더 필요하다. 역겹긴 하지만. /// You require more overlords. Disgusting creatures.=1409
VoiceOver/AlarakA/NeedMoreGas00,베스핀 가스가 더 필요하다. /// You require more vespene gas.=1410
VoiceOver/AlarakA/NeedMoreGas01,베스핀 가스가 부족하다. /// There is not enough vespene for that.=1411
VoiceOver/AlarakA/NeedMoreGas02,잘 들어라. 베스핀 가스가 모자란다. /// Pay attention. You need more vespene.=1412
VoiceOver/AlarakA/NeedMoreMinerals00,광물이 부족하다. /// You have too few minerals.=1413
VoiceOver/AlarakA/NeedMoreMinerals01,먼저 광물을 더 채취해라. /// Gather more minerals first.=1414
VoiceOver/AlarakA/NeedMoreMinerals02,일꾼들이 광물을 더 채취해야 한다. /// Your workers must gather more minerals.=1415
VoiceOver/AlarakA/NotEnoughEnergy00,에너지가 더 필요하다. /// Not enough energy.=1416
VoiceOver/AlarakA/NotEnoughEnergy01,에너지가 부족하다. /// Insufficient energy.=1417
VoiceOver/AlarakA/NukeReady00,핵탄두가 준비됐다. 괜히 미사일에 맞아 죽지 않게 조심해라. /// Nuclear payload ready. Do try not to kill yourself.=1418
VoiceOver/AlarakA/NukeReady01,핵미사일이 장전됐다. 오, 이거 기대가 되는군. /// Your nuke is armed. Oh, I look forward to this.=1419
VoiceOver/AlarakA/PlaceInPowerField00,동력장 안에 배치해야 한다. /// You must place that in a power field.=1420
VoiceOver/AlarakA/PylonUnderAttack00,적이 수정탑을 공격한다. /// Your enemy strikes at a pylon.=1421
VoiceOver/AlarakA/QueenDeployed00,오, 여왕이 탄생했다. /// A new queen has emerged.=1422
VoiceOver/AlarakA/QueenDeployed01,너의 저그가 새로운 여왕을 탄생시켰다. /// Your zerg have birthed a new queen.=1423
VoiceOver/AlarakA/ResearchComplete00,연구 완료. /// Research complete.=1424
VoiceOver/AlarakA/ResearchComplete01,연구가 끝났다. /// Your research has concluded.=1425
VoiceOver/AlarakA/SalvageComplete00,회수가 끝났다. 역시 쓰레기 처리엔 재주가 있단 말이야. /// Salvage complete. You excel at scavenging.=1426
VoiceOver/AlarakA/ThorRepaired00,토르가 다시 준비됐다. 금방 또 파괴되겠지만. /// Your thor is ready to fail you again.=1427
VoiceOver/AlarakA/Transmission00,신호를 수신 중이다. /// You are receiving a transmission.=1428
VoiceOver/AlarakA/TumorUnderAttack00,너의 썩은 내 나는 점막 종양이 공격받고 있다. /// Your putrid creep tumor is under attack.=1429
VoiceOver/AlarakA/UpgradeComplete00,업그레이드 완료. /// Upgrade complete.=1430
VoiceOver/AlarakA/UpgradeComplete01,업그레이드가 완료됐다. /// Your upgrade is ready for use.=1431
VoiceOver/AlarakA/WarpInComplete00,소환 완료. /// Warp in complete.=1432
VoiceOver/AlarakA/WarpInComplete01,차원 이동 완료. /// Dimensional warp complete.=1433
VoiceOver/AlarakA/WorkersUnderAttack00,아, 적이 너의 탐사정을 공격하고 있다. /// The enemy is attacking your probes.=1434
VoiceOver/AlarakA/WorkersUnderAttack01,너의 탐사정이 무방비로 당하고 있다. /// You have left your probes undefended.=1435
VoiceOver/AlarakA/WorkersUnderAttackTerran00,적이 너의 건설로봇을 처치하고 있다. /// The enemy is slaying your SCVs.=1436
VoiceOver/AlarakA/WorkersUnderAttackTerran01,너의 건설로봇들이 죽어나가는군! /// Your SCVs die so easily!=1437
VoiceOver/AlarakA/WorkersUnderAttackZerg00,지금 너의 일벌레가 죽어나가고 있다. /// Your drones are being exterminated.=1438
VoiceOver/AlarakA/WorkersUnderAttackZerg01,적이 너의 일벌레를 짓밟고 있다. /// The enemy is crushing your drones.=1439
VoiceOver/ArtanisA/AddOnComplete00,부속건물 완성. /// Add-on complete.=1440
VoiceOver/ArtanisA/AddOnComplete01,부속건물이 완성됐다. /// The add-on has been constructed.=1441
VoiceOver/ArtanisA/AllyBaseUnderAttack00,동맹 기지가 공격받고 있다! /// Our allies' base is under siege!=1442
VoiceOver/ArtanisA/AllyUnderAttack00,동맹이 전투를 벌이고 있다. /// Our allies are engaged in battle.=1443
VoiceOver/ArtanisA/BadLZ00,그곳엔 착륙할 수 없다. /// Unable to land there.=1444
VoiceOver/ArtanisA/BaseUnderAttack00,기지가 공격받고 있다. /// Our base is under siege.=1445
VoiceOver/ArtanisA/BuildError00,그곳에 소환할 순 없다. /// We cannot warp there.=1446
VoiceOver/ArtanisA/BuildErrorTerran00,거기엔 건설할 수 없다. /// We cannot build there.=1447
VoiceOver/ArtanisA/BuildErrorZerg00,그 명령은 수행할 수 없다. /// That command is unacceptable.=1448
VoiceOver/ArtanisA/CalldownLaunch00,테란이 핵 무기를 발사했다. /// The terrans have launched a nuclear weapon.=1449
VoiceOver/ArtanisA/CalldownLaunch01,핵 공격이 감지됐다. /// A nuclear launch has been detected.=1450
VoiceOver/ArtanisA/CommandCenterUpgraded00,사령부 업그레이드 완료. /// Command center upgraded.=1451
VoiceOver/ArtanisA/ConstructInterrupt00,건설이 방해를 받았다. 차원 이동만 가능했더라도... /// Construction has been interrupted. If only we could warp these in...=1452
VoiceOver/ArtanisA/Countdown00,오... 사... 삼... 이... 일... /// Five... Four... Three... Two... One...=1453
VoiceOver/ArtanisA/EvolutionComplete00,진화 완료. /// Evolution complete.=1454
VoiceOver/ArtanisA/EvolutionComplete01,가증스러운 너희 저그가 진화를 마쳤다. /// Your detestable zerg have evolved.=1455
VoiceOver/ArtanisA/ForcesUnderAttack00,첫 번째 자손이 교전을 시작했다. /// The firstborn have engaged the enemy.=1456
VoiceOver/ArtanisA/ForcesUnderAttackTerran00,아군이 적과 교전을 시작했다. /// Our army has engaged the enemy.=1457
